Time,Value,Value Attributes
30-Mar-2024,02:10:26.65625,0.00
29-Mar-2024,18:20:13.46875,0.00
29-Mar-2024,10:30:00.875,0.00
29-Mar-2024,02:39:53.40625,0.00
28-Mar-2024,18:49:41.875,0.00
28-Mar-2024,10:59:27.65625,0.00
28-Mar-2024,03:09:13,0.00
28-Mar-2024,03:08:54.38901,Intf,Shut
28-Mar-2024,01:12:01.59375,0.00
27-Mar-2024,17:21:44.1875,0.00
27-Mar-2024,09:31:34.40625,0.00
27-Mar-2024,01:41:15.875,0.00
26-Mar-2024,17:51:09.75,0.00
26-Mar-2024,10:00:51.1875,0.00
26-Mar-2024,02:10:40.78125,0.00
25-Mar-2024,18:20:30.40625,0.00
25-Mar-2024,10:30:09.34375,0.00
25-Mar-2024,02:39:55.59375,0.00
24-Mar-2024,18:49:48.25,0.00
24-Mar-2024,10:59:41.53125,0.00
24-Mar-2024,03:09:22.1875,0.00
23-Mar-2024,19:19:15.84375,0.00
23-Mar-2024,11:28:55.6875,0.00
23-Mar-2024,11:28:51.16701,Intf,Shut
23-Mar-2024,04:03:55.0625,0.00
22-Mar-2024,20:13:32.9375,0.00
22-Mar-2024,12:23:07.625,0.00
22-Mar-2024,04:32:44.125,0.08
22-Mar-2024,04:30:40.0625,1.35
22-Mar-2024,04:29:11.03125,3.07
22-Mar-2024,04:28:23.03125,5.17
22-Mar-2024,04:27:54.96875,7.65
22-Mar-2024,04:27:37.9375,10.32
22-Mar-2024,04:27:24.9375,13.59
22-Mar-2024,04:27:15.9375,17.11
22-Mar-2024,04:27:08.9375,21.23
22-Mar-2024,04:27:03.9375,25.39
22-Mar-2024,04:26:59.9375,29.95
22-Mar-2024,04:26:56.9375,34.49
22-Mar-2024,04:26:53.9375,40.45
22-Mar-2024,04:26:51.9375,45.56
22-Mar-2024,04:26:49.9375,51.95
22-Mar-2024,04:26:48.9375,55.79
22-Mar-2024,04:26:47.9375,60.31
22-Mar-2024,04:26:46.9375,65.73
22-Mar-2024,04:26:45.9375,67.04
22-Mar-2024,04:26:43.9375,66.88
22-Mar-2024,04:26:41.9375,66.77
22-Mar-2024,04:26:37.9375,67.02
22-Mar-2024,04:26:36.9375,66.77
22-Mar-2024,04:26:34.9375,66.91
22-Mar-2024,04:26:32.9375,67.03
22-Mar-2024,04:26:25.9375,66.87
22-Mar-2024,04:26:23.9375,66.76
22-Mar-2024,04:26:19.9375,67.02
22-Mar-2024,04:26:18.9375,66.78
22-Mar-2024,04:26:14.9375,67.02
22-Mar-2024,04:26:10.9375,66.76
22-Mar-2024,04:26:09.90625,67.02
22-Mar-2024,04:26:02.90625,66.87
22-Mar-2024,04:26:00.90625,66.76
22-Mar-2024,04:25:58.90625,66.89
22-Mar-2024,04:25:56.90625,67.03
22-Mar-2024,04:25:55.90625,66.79
22-Mar-2024,04:25:53.90625,66.91
22-Mar-2024,04:25:51.90625,67.03
22-Mar-2024,04:25:50.90625,66.78
22-Mar-2024,04:25:46.90625,67.03
22-Mar-2024,04:25:45.90625,66.77
22-Mar-2024,04:25:43.90625,66.92
22-Mar-2024,04:25:41.90625,67.02
22-Mar-2024,04:25:40.90625,66.78
22-Mar-2024,04:25:34.90625,66.96
22-Mar-2024,04:25:30.90625,66.77
22-Mar-2024,04:25:29.90625,66.99
22-Mar-2024,04:25:21.90625,66.93
22-Mar-2024,04:25:19.90625,67.03
22-Mar-2024,04:25:18.90625,66.79
22-Mar-2024,04:25:17.90625,66.97
22-Mar-2024,04:25:13.90625,66.76
22-Mar-2024,04:25:12.90625,67.02
22-Mar-2024,04:25:08.90625,66.77
22-Mar-2024,04:25:07.90625,67.03
22-Mar-2024,04:25:06.90625,66.76
22-Mar-2024,04:25:05.90625,66.98
22-Mar-2024,04:25:01.90625,66.76
22-Mar-2024,04:24:58.90625,66.95
22-Mar-2024,04:24:54.90625,66.77
22-Mar-2024,04:24:53.90625,67.02
22-Mar-2024,04:24:52.90625,66.81
