Name	\\HST1\T1.A26BJ2A
Data Type	Float 32
Number of Values	57655
Time	Value	Value Attributes
30-Mar-2024 03:51:13.25	35
30-Mar-2024 03:38:07.6875	35
30-Mar-2024 03:11:20.9375	37
30-Mar-2024 03:06:34.875	37
30-Mar-2024 03:06:25.875	38
30-Mar-2024 03:01:35.8125	38
30-Mar-2024 03:01:32.8125	38
30-Mar-2024 03:01:29.8125	38
30-Mar-2024 03:01:28.8125	38
30-Mar-2024 02:52:24.65625	39
30-Mar-2024 02:49:14.59375	40
30-Mar-2024 02:43:31.40625	40
30-Mar-2024 02:43:22.40625	39
30-Mar-2024 02:27:11.96875	38
30-Mar-2024 02:27:10.96875	38
30-Mar-2024 02:22:07.78125	38
30-Mar-2024 02:18:36.75	37
30-Mar-2024 01:48:15.65625	34
30-Mar-2024 01:46:17.5625	34
30-Mar-2024 01:45:29.53125	33
30-Mar-2024 01:45:01.5	31
30-Mar-2024 01:44:48.46875	30
30-Mar-2024 01:44:36.46875	28
30-Mar-2024 01:44:22.46875	25
30-Mar-2024 01:44:07.46875	23
30-Mar-2024 00:53:12.0625	23
30-Mar-2024 00:01:23.8125	24
29-Mar-2024 23:20:08.40625	24
29-Mar-2024 23:19:55.40625	24
29-Mar-2024 23:16:28.28125	24
29-Mar-2024 23:16:18.28125	25
29-Mar-2024 23:15:58.28125	24
29-Mar-2024 23:15:53.28125	25
29-Mar-2024 23:15:27.28125	24
29-Mar-2024 23:15:24.28125	25
29-Mar-2024 23:14:40.28125	24
29-Mar-2024 22:40:24.59375	25
29-Mar-2024 20:20:43.96875	27
29-Mar-2024 20:20:38.96875	27
29-Mar-2024 20:19:39.96875	27
29-Mar-2024 20:02:48.25	27
29-Mar-2024 20:02:04.25	28
29-Mar-2024 19:48:51.625	28
29-Mar-2024 18:26:58.59375	29
29-Mar-2024 18:26:52.59375	29
29-Mar-2024 18:26:32.59375	29
29-Mar-2024 18:26:22.59375	29
29-Mar-2024 18:25:46.59375	29
29-Mar-2024 18:25:43.59375	29
29-Mar-2024 18:12:35.96875	30
29-Mar-2024 17:14:37.875	31
29-Mar-2024 16:13:55.40625	32
29-Mar-2024 15:02:48.03125	34
29-Mar-2024 13:43:57.625	35
29-Mar-2024 13:28:39.03125	35
29-Mar-2024 13:02:08.90625	36
29-Mar-2024 12:26:23.40625	37
29-Mar-2024 11:59:20.46875	38
29-Mar-2024 11:59:02.4375	38
29-Mar-2024 11:49:05.15625	39
29-Mar-2024 11:44:29.9375	40
29-Mar-2024 11:43:29.875	40
29-Mar-2024 11:39:09.8125	40
29-Mar-2024 11:24:54.40625	38
29-Mar-2024 11:22:12.34375	38
29-Mar-2024 11:22:01.34375	38
29-Mar-2024 11:04:16.8125	36
29-Mar-2024 10:57:24.5	36
29-Mar-2024 10:55:07.40625	35
29-Mar-2024 10:53:47.34375	34
29-Mar-2024 10:53:24.3125	33
29-Mar-2024 10:53:01.3125	30
29-Mar-2024 10:52:50.3125	30
29-Mar-2024 10:31:37.34375	30
29-Mar-2024 08:20:38.46875	29
29-Mar-2024 07:48:05.40625	29
29-Mar-2024 07:47:59.40625	29
29-Mar-2024 07:45:43.28125	29
29-Mar-2024 07:45:39.28125	29
29-Mar-2024 07:43:30.25	29
29-Mar-2024 07:41:58.21875	29
29-Mar-2024 07:41:50.1875	29
29-Mar-2024 07:38:30.1875	29
29-Mar-2024 07:38:28.1875	29
29-Mar-2024 07:37:24.125	29
29-Mar-2024 07:01:31.4375	29
29-Mar-2024 07:00:43.40625	29
29-Mar-2024 07:00:22.40625	29
29-Mar-2024 06:18:52.8125	28
29-Mar-2024 06:13:06.5	28
29-Mar-2024 04:39:13.78125	28
29-Mar-2024 03:28:53.34375	29
29-Mar-2024 02:56:59.15625	29
29-Mar-2024 02:46:10.71875	29
29-Mar-2024 01:37:29.15625	31
29-Mar-2024 01:37:13.15625	31
29-Mar-2024 01:37:11.15625	31
29-Mar-2024 01:11:49.625	32
29-Mar-2024 00:25:11.15625	33
29-Mar-2024 00:09:48.6875	34
28-Mar-2024 23:18:57.0625	36
28-Mar-2024 22:50:55.09375	38
28-Mar-2024 22:47:21	38
28-Mar-2024 22:36:07.53125	39
28-Mar-2024 22:35:02.5	40
28-Mar-2024 22:17:43.25	39
28-Mar-2024 22:07:49.84375	38
28-Mar-2024 21:48:38.15625	37
28-Mar-2024 21:48:26.15625	36
28-Mar-2024 21:48:25.15625	37
28-Mar-2024 21:48:22.15625	36
28-Mar-2024 21:44:38.0625	36
28-Mar-2024 21:25:37.59375	35
28-Mar-2024 21:17:29.15625	35
28-Mar-2024 21:15:46.15625	34
28-Mar-2024 21:14:50.15625	33
28-Mar-2024 21:14:31.15625	31
28-Mar-2024 21:14:13.15625	28
28-Mar-2024 21:14:05.15625	27
28-Mar-2024 20:34:57.375	27
28-Mar-2024 20:34:53.375	27
28-Mar-2024 20:34:52.375	27
28-Mar-2024 20:34:23.375	27
28-Mar-2024 20:34:11.375	27
28-Mar-2024 20:34:02.375	27
