Name	\\HST1\T1.A26BTI
Data Type	Float 32
Number of Values	69864
Time	Value	Value Attributes
30-Mar-2024 04:02:32.78125	34
30-Mar-2024 03:49:07.125	34
30-Mar-2024 03:18:45.125	35
30-Mar-2024 03:10:34.9375	36
30-Mar-2024 02:57:19.75	37
30-Mar-2024 02:51:58.65625	38
30-Mar-2024 02:49:06.59375	40
30-Mar-2024 02:47:42.5625	40
30-Mar-2024 02:47:40.5625	40
30-Mar-2024 02:47:34.5625	39
30-Mar-2024 02:47:03.5625	40
30-Mar-2024 02:34:06.28125	38
30-Mar-2024 02:34:04.28125	38
30-Mar-2024 02:33:52.28125	38
30-Mar-2024 02:33:51.28125	38
30-Mar-2024 02:32:06.15625	38
30-Mar-2024 02:31:59.15625	38
30-Mar-2024 02:31:57.15625	38
30-Mar-2024 02:31:48.15625	38
30-Mar-2024 02:31:47.15625	38
30-Mar-2024 02:12:32.625	36
30-Mar-2024 01:50:55.71875	34
30-Mar-2024 01:48:05.65625	33
30-Mar-2024 01:47:02.625	32
30-Mar-2024 01:45:56.53125	31
30-Mar-2024 01:45:15.5	29
30-Mar-2024 01:44:52.5	27
30-Mar-2024 01:44:25.46875	23
30-Mar-2024 01:44:11.46875	23
30-Mar-2024 01:37:42.21875	22
30-Mar-2024 00:24:33.6875	23
30-Mar-2024 00:16:21.40625	23
30-Mar-2024 00:15:20.375	23
30-Mar-2024 00:15:19.375	23
30-Mar-2024 00:15:00.375	23
30-Mar-2024 00:13:46.375	23
29-Mar-2024 23:11:12.21875	23
29-Mar-2024 22:48:02.0625	24
29-Mar-2024 22:26:08.84375	24
29-Mar-2024 22:25:34.78125	24
29-Mar-2024 22:05:02.03125	24
29-Mar-2024 22:04:58.03125	25
29-Mar-2024 21:34:00.65625	25
29-Mar-2024 21:00:03.25	25
29-Mar-2024 20:59:52.25	25
29-Mar-2024 20:59:31.25	26
29-Mar-2024 20:59:22.25	25
29-Mar-2024 20:58:56.25	26
29-Mar-2024 20:02:00.25	26
29-Mar-2024 20:01:23.25	26
29-Mar-2024 20:01:07.25	26
29-Mar-2024 20:01:00.21875	26
29-Mar-2024 20:00:58.21875	26
29-Mar-2024 20:00:37.21875	26
29-Mar-2024 20:00:33.21875	26
29-Mar-2024 19:59:59.1875	26
29-Mar-2024 19:59:49.1875	26
29-Mar-2024 19:59:47.1875	26
29-Mar-2024 19:12:30.5625	27
29-Mar-2024 19:12:29.5625	27
29-Mar-2024 19:09:24.375	27
29-Mar-2024 19:09:21.375	27
29-Mar-2024 19:09:16.375	27
29-Mar-2024 19:09:15.375	27
29-Mar-2024 19:08:49.375	27
29-Mar-2024 19:08:43.375	27
29-Mar-2024 19:08:20.375	27
29-Mar-2024 19:08:07.375	27
29-Mar-2024 19:07:58.375	27
29-Mar-2024 18:56:55.9375	27
29-Mar-2024 18:56:48.9375	27
29-Mar-2024 18:56:09.9375	27
29-Mar-2024 18:56:05.9375	28
29-Mar-2024 18:43:17.25	28
29-Mar-2024 18:42:57.21875	28
29-Mar-2024 18:42:02.1875	28
29-Mar-2024 17:43:05.5	29
29-Mar-2024 16:50:53.84375	30
29-Mar-2024 15:37:26.46875	32
29-Mar-2024 15:36:25.4375	32
29-Mar-2024 14:36:26.03125	34
29-Mar-2024 14:10:01.65625	34
29-Mar-2024 12:50:19.40625	36
29-Mar-2024 12:25:56.375	36
29-Mar-2024 12:05:05.78125	37
29-Mar-2024 11:53:54.3125	38
29-Mar-2024 11:47:52.0625	39
29-Mar-2024 11:44:25.9375	40
29-Mar-2024 11:41:24.84375	40
29-Mar-2024 11:41:22.84375	40
29-Mar-2024 11:41:05.84375	40
29-Mar-2024 11:40:57.84375	40
29-Mar-2024 11:40:56.84375	40
29-Mar-2024 11:26:30.40625	38
29-Mar-2024 11:06:26.9375	36
29-Mar-2024 10:58:03.53125	35
29-Mar-2024 10:55:52.40625	35
29-Mar-2024 10:54:19.40625	34
29-Mar-2024 10:53:40.3125	33
29-Mar-2024 10:52:59.3125	30
29-Mar-2024 09:51:02	30
29-Mar-2024 07:37:04.0625	29
29-Mar-2024 07:36:58.0625	29
29-Mar-2024 07:35:55.0625	29
29-Mar-2024 07:14:37.09375	29
29-Mar-2024 07:14:35.09375	29
29-Mar-2024 07:13:50.0625	29
29-Mar-2024 07:13:44.0625	29
29-Mar-2024 07:08:34.875	29
29-Mar-2024 07:08:26.875	29
29-Mar-2024 07:08:25.875	29
29-Mar-2024 07:07:56.8125	29
29-Mar-2024 07:07:49.8125	29
29-Mar-2024 07:07:31.78125	29
29-Mar-2024 07:07:29.78125	29
29-Mar-2024 07:07:15.75	29
29-Mar-2024 06:37:22.59375	29
29-Mar-2024 06:37:20.59375	29
29-Mar-2024 06:13:41.5	28
29-Mar-2024 06:12:58.46875	28
29-Mar-2024 06:10:20.34375	28
29-Mar-2024 04:28:03.375	27
29-Mar-2024 04:26:00.25	27
29-Mar-2024 03:13:48.6875	28
29-Mar-2024 02:23:19.15625	29
29-Mar-2024 01:57:54.1875	29
29-Mar-2024 01:27:49.0625	30
29-Mar-2024 00:36:42.53125	32
29-Mar-2024 00:30:40.21875	32
28-Mar-2024 23:56:00.96875	33
28-Mar-2024 23:16:14.90625	36
28-Mar-2024 23:01:43.5	36
28-Mar-2024 22:57:35.375	36
28-Mar-2024 22:41:26.84375	38
28-Mar-2024 22:39:14.75	38
28-Mar-2024 22:39:06.75	38
28-Mar-2024 22:39:05.75	38
28-Mar-2024 22:35:34.5	39
28-Mar-2024 22:33:26.46875	39
28-Mar-2024 22:21:33.25	39
28-Mar-2024 22:21:29.25	39
28-Mar-2024 22:21:18.25	39
28-Mar-2024 22:17:57.25	39
28-Mar-2024 22:17:50.25	38
28-Mar-2024 22:17:27.21875	38
28-Mar-2024 22:11:46.03125	38
28-Mar-2024 21:52:49.25	37
28-Mar-2024 21:52:41.25	36
28-Mar-2024 21:48:45.15625	36
28-Mar-2024 21:48:36.15625	36
28-Mar-2024 21:29:05.625	35
28-Mar-2024 21:20:15.28125	34
28-Mar-2024 21:17:44.15625	34
28-Mar-2024 21:16:37.15625	33
28-Mar-2024 21:15:16.15625	32
28-Mar-2024 21:14:35.15625	30
28-Mar-2024 21:14:10.15625	27
28-Mar-2024 21:13:57.15625	27
28-Mar-2024 21:10:29	27
28-Mar-2024 20:22:40.9375	27
28-Mar-2024 19:38:18.625	27
28-Mar-2024 19:38:10.625	27
28-Mar-2024 19:37:03.625	27
28-Mar-2024 19:36:12.5	27
28-Mar-2024 19:36:10.46875	27
28-Mar-2024 19:36:09.46875	27
28-Mar-2024 19:35:56.46875	27
28-Mar-2024 19:35:54.4375	27
28-Mar-2024 19:35:14.4375	27
28-Mar-2024 19:35:10.4375	27
28-Mar-2024 19:34:50.375	27
28-Mar-2024 19:34:47.375	27
28-Mar-2024 19:34:29.34375	27
28-Mar-2024 19:34:26.3125	27
28-Mar-2024 19:33:50.3125	27
28-Mar-2024 19:33:48.3125	27
28-Mar-2024 19:33:18.28125	27
28-Mar-2024 19:33:16.28125	27
28-Mar-2024 19:29:09.125	27
28-Mar-2024 19:29:07.125	27
28-Mar-2024 19:28:45.09375	27
28-Mar-2024 19:28:43.09375	27
28-Mar-2024 19:28:26.09375	27
28-Mar-2024 19:26:58.03125	27
28-Mar-2024 19:26:57.03125	27
28-Mar-2024 19:26:27.03125	27
28-Mar-2024 19:26:17.03125	27
28-Mar-2024 19:26:16.03125	27
28-Mar-2024 18:41:52.15625	27
28-Mar-2024 18:41:50.15625	28
28-Mar-2024 18:41:19.15625	28
28-Mar-2024 18:41:11.15625	27
28-Mar-2024 18:41:10.125	28
28-Mar-2024 18:40:22	27
28-Mar-2024 18:38:00.9375	28
28-Mar-2024 18:37:52.9375	27
28-Mar-2024 18:37:51.9375	28
28-Mar-2024 18:35:37.78125	27
28-Mar-2024 17:49:25.40625	28
28-Mar-2024 17:44:02.25	28
28-Mar-2024 15:17:26.0625	28
28-Mar-2024 13:53:18.875	29
28-Mar-2024 13:10:33.96875	30
28-Mar-2024 11:57:40.0625	30
28-Mar-2024 11:33:55.75	30
28-Mar-2024 11:19:03.125	31
28-Mar-2024 11:18:59.125	31
28-Mar-2024 11:18:41.0625	31
28-Mar-2024 11:04:41.3125	31
28-Mar-2024 10:32:09.125	32
28-Mar-2024 09:33:43.78125	33
28-Mar-2024 09:21:18.375	34
28-Mar-2024 08:55:00.96875	35
28-Mar-2024 08:54:33.96875	35
28-Mar-2024 08:37:07.15625	36
28-Mar-2024 08:34:19.96875	36
28-Mar-2024 08:34:13.9375	36
28-Mar-2024 08:27:06.59375	37
28-Mar-2024 08:20:16.5	38
28-Mar-2024 08:15:58.40625	40
28-Mar-2024 08:15:56.40625	40
28-Mar-2024 08:15:55.40625	40
28-Mar-2024 07:58:28.46875	38
28-Mar-2024 07:58:22.46875	38
28-Mar-2024 07:58:00.46875	38
28-Mar-2024 07:52:52.3125	38
28-Mar-2024 07:23:20.28125	34
28-Mar-2024 07:21:01.21875	33
28-Mar-2024 07:19:30.21875	31
28-Mar-2024 07:18:51.21875	30
28-Mar-2024 07:18:23.21875	28
28-Mar-2024 07:17:50.21875	24
28-Mar-2024 07:17:34.1875	23
28-Mar-2024 05:26:58.71875	23
28-Mar-2024 04:50:42.28125	23
28-Mar-2024 03:09:13.125	22
28-Mar-2024 03:08:54.38901	Intf Shut
28-Mar-2024 03:08:53.125	22
28-Mar-2024 02:22:24.5	23
28-Mar-2024 02:20:50.46875	23
