Name	\\HST1\T1.A26CBJ2
Data Type	Float 32
Number of Values	56990
Time	Value	Value Attributes
30-Mar-2024 04:07:10.96875	35
30-Mar-2024 03:40:53.875	36
30-Mar-2024 03:14:37.0625	36
30-Mar-2024 02:52:51.65625	38
30-Mar-2024 02:46:43.53125	38
30-Mar-2024 02:40:49.34375	37
30-Mar-2024 02:18:49.75	36
30-Mar-2024 01:59:44	34
30-Mar-2024 01:51:22.75	33
30-Mar-2024 01:47:01.625	31
30-Mar-2024 01:44:39.46875	30
29-Mar-2024 23:26:18.59375	31
29-Mar-2024 23:24:56.59375	31
29-Mar-2024 23:24:55.59375	31
29-Mar-2024 23:20:24.4375	31
29-Mar-2024 23:20:12.40625	31
29-Mar-2024 23:20:11.40625	31
29-Mar-2024 22:13:48.25	31
29-Mar-2024 22:13:32.25	31
29-Mar-2024 22:13:30.25	31
29-Mar-2024 22:09:57.21875	31
29-Mar-2024 22:09:44.21875	31
29-Mar-2024 21:17:23.09375	31
29-Mar-2024 21:17:21.09375	31
29-Mar-2024 21:14:15.96875	31
29-Mar-2024 21:14:05.96875	31
29-Mar-2024 21:13:43.9375	31
29-Mar-2024 20:10:50.4375	32
29-Mar-2024 20:10:47.4375	32
29-Mar-2024 19:28:23.15625	32
29-Mar-2024 18:39:41.03125	32
29-Mar-2024 17:25:43.125	33
29-Mar-2024 15:19:00.65625	34
29-Mar-2024 14:24:11.46875	34
29-Mar-2024 13:14:24.28125	35
29-Mar-2024 12:33:36.9375	36
29-Mar-2024 12:33:29.9375	36
29-Mar-2024 12:07:07.8125	36
29-Mar-2024 11:45:15.9375	38
29-Mar-2024 11:45:12.9375	38
29-Mar-2024 11:44:06.90625	38
29-Mar-2024 11:31:05.46875	37
29-Mar-2024 11:07:13.9375	34
29-Mar-2024 11:00:08.75	33
29-Mar-2024 10:54:37.40625	31
29-Mar-2024 10:53:13.3125	30
29-Mar-2024 10:15:05.78125	30
29-Mar-2024 06:58:20.375	31
29-Mar-2024 06:52:06.15625	31
29-Mar-2024 06:52:05.15625	31
29-Mar-2024 06:05:19.28125	31
29-Mar-2024 05:38:14	31
29-Mar-2024 04:03:24.4375	32
29-Mar-2024 03:16:19.71875	32
29-Mar-2024 01:44:39.53125	34
29-Mar-2024 01:23:37	34
29-Mar-2024 01:04:32.4375	34
28-Mar-2024 23:33:02.5625	36
28-Mar-2024 23:10:14.75	36
28-Mar-2024 23:10:12.75	36
28-Mar-2024 22:56:00.25	36
28-Mar-2024 22:35:40.5	38
28-Mar-2024 22:08:11.84375	36
28-Mar-2024 22:08:09.84375	36
28-Mar-2024 21:33:13.71875	34
28-Mar-2024 21:21:44.28125	32
28-Mar-2024 21:17:36.15625	31
28-Mar-2024 21:14:26.15625	30
28-Mar-2024 21:13:54.15625	30
28-Mar-2024 18:54:09.59375	30
28-Mar-2024 15:24:08.5	32
28-Mar-2024 14:17:05.75	32
28-Mar-2024 12:53:32.3125	33
28-Mar-2024 11:33:58.75	33
28-Mar-2024 11:10:09.4375	34
28-Mar-2024 09:43:13.90625	35
28-Mar-2024 09:04:29.28125	36
28-Mar-2024 08:53:18.90625	36
28-Mar-2024 08:28:06.65625	37
28-Mar-2024 08:16:39.40625	38
28-Mar-2024 07:56:01.40625	36
28-Mar-2024 07:41:56.65625	35
28-Mar-2024 07:26:44.34375	33
28-Mar-2024 07:19:45.21875	31
28-Mar-2024 07:18:10.21875	30
28-Mar-2024 07:17:11.1875	30
28-Mar-2024 06:00:37.59375	31
28-Mar-2024 06:00:29.59375	31
28-Mar-2024 06:00:21.59375	31
28-Mar-2024 05:59:01.53125	31
28-Mar-2024 05:58:52.53125	31
28-Mar-2024 05:58:51.53125	31
28-Mar-2024 05:58:22.5	31
28-Mar-2024 05:58:19.5	31
28-Mar-2024 05:58:17.5	31
28-Mar-2024 05:57:40.5	31
28-Mar-2024 05:57:32.5	31
28-Mar-2024 05:56:52.46875	31
28-Mar-2024 05:56:32.46875	31
28-Mar-2024 05:56:09.46875	31
28-Mar-2024 05:55:49.46875	31
28-Mar-2024 05:55:44.46875	31
28-Mar-2024 05:55:42.46875	31
28-Mar-2024 05:55:40.46875	31
28-Mar-2024 05:54:14.46875	31
28-Mar-2024 05:54:03.46875	31
