Name	\\HST1\T1.L28FDA
Data Type	Digital
Number of Values	135
Time	Value	Value Attributes
30-Mar-2024 04:41:06.65625	0
30-Mar-2024 02:11:02.84375	0
29-Mar-2024 18:20:42	0
29-Mar-2024 10:30:24.21875	0
29-Mar-2024 02:40:11.8125	0
28-Mar-2024 18:49:51.78125	0
28-Mar-2024 10:59:31.4375	0
28-Mar-2024 03:09:12.8125	0
28-Mar-2024 03:08:54.38901	Intf Shut
28-Mar-2024 01:13:17.375	0
27-Mar-2024 17:23:00.1875	0
27-Mar-2024 09:32:47.90625	0
27-Mar-2024 01:42:26.65625	0
26-Mar-2024 17:52:08.0625	0
26-Mar-2024 10:01:50.875	0
26-Mar-2024 02:11:24.625	0
25-Mar-2024 18:21:10.65625	0
25-Mar-2024 10:30:50.125	0
25-Mar-2024 02:40:30.5625	0
24-Mar-2024 18:50:11.8125	0
24-Mar-2024 10:59:57.75	0
24-Mar-2024 03:09:38.90625	0
23-Mar-2024 19:19:18.59375	0
23-Mar-2024 11:28:55.71875	0
23-Mar-2024 11:28:51.16701	Intf Shut
23-Mar-2024 03:58:10.5	0
22-Mar-2024 20:07:44.25	0
22-Mar-2024 12:17:16.3125	0
22-Mar-2024 04:26:47.375	0
22-Mar-2024 01:43:22.96875	1
21-Mar-2024 17:52:55.96875	1
21-Mar-2024 10:02:30.9375	1
21-Mar-2024 02:12:04.65625	1
20-Mar-2024 18:21:43.4375	1
20-Mar-2024 10:31:23.03125	1
20-Mar-2024 02:40:57.25	1
19-Mar-2024 18:50:33.25	1
19-Mar-2024 11:00:12.1875	1
19-Mar-2024 03:09:56.375	1
18-Mar-2024 19:19:36.75	1
18-Mar-2024 11:29:20.21875	1
18-Mar-2024 03:39:06.8125	1
17-Mar-2024 19:48:49.75	1
17-Mar-2024 11:58:32.0625	1
17-Mar-2024 04:08:14.84375	1
16-Mar-2024 20:18:02.59375	1
16-Mar-2024 12:27:42.125	1
16-Mar-2024 04:37:22.0625	1
15-Mar-2024 20:47:05.375	1
15-Mar-2024 12:56:47.375	1
15-Mar-2024 05:06:34.03125	1
14-Mar-2024 21:16:10.59375	1
14-Mar-2024 13:25:54.6875	1
14-Mar-2024 05:35:35.0625	1
13-Mar-2024 21:45:18.40625	1
13-Mar-2024 13:55:02.84375	1
13-Mar-2024 06:04:46.53125	1
12-Mar-2024 22:14:29.28125	1
12-Mar-2024 14:24:08.3125	1
12-Mar-2024 06:33:52.96875	1
11-Mar-2024 22:43:39.75	1
11-Mar-2024 14:53:22.65625	1
11-Mar-2024 07:03:03	1
10-Mar-2024 23:12:44.9375	1
10-Mar-2024 15:22:33.71875	1
10-Mar-2024 07:32:17.40625	1
9-Mar-2024 22:42:00.1875	1
9-Mar-2024 14:51:42.84375	1
9-Mar-2024 07:01:22.4375	1
8-Mar-2024 23:11:04.625	1
8-Mar-2024 15:20:50.75	1
8-Mar-2024 07:30:32.0625	1
7-Mar-2024 23:40:12.8125	1
7-Mar-2024 15:49:55.21875	1
7-Mar-2024 07:59:36.84375	1
7-Mar-2024 00:09:21.34375	1
6-Mar-2024 16:19:04.21875	1
6-Mar-2024 08:28:43.75	1
6-Mar-2024 00:38:24.75	1
5-Mar-2024 16:48:07.34375	1
5-Mar-2024 08:57:52.8125	1
5-Mar-2024 01:07:34.90625	1
4-Mar-2024 17:17:14.84375	1
4-Mar-2024 09:26:55.5	1
4-Mar-2024 01:36:36.71875	1
3-Mar-2024 17:46:21.40625	1
3-Mar-2024 09:56:04.875	1
3-Mar-2024 02:05:40.84375	1
2-Mar-2024 18:15:20.21875	1
2-Mar-2024 10:25:06.875	1
2-Mar-2024 02:34:38.03125	1
1-Mar-2024 18:44:05.65625	1
1-Mar-2024 10:53:33.71875	1
1-Mar-2024 03:03:06.15625	1
29-Feb-2024 19:12:33.53125	1
29-Feb-2024 11:22:00.8125	1
29-Feb-2024 03:31:31	1
28-Feb-2024 19:41:07.28125	1
28-Feb-2024 11:50:43.46875	1
28-Feb-2024 04:00:12.03125	1
27-Feb-2024 20:09:43.78125	1
27-Feb-2024 12:19:13.9375	1
27-Feb-2024 04:28:49.375	1
26-Feb-2024 20:38:26.875	1
26-Feb-2024 12:48:08.375	1
26-Feb-2024 04:57:48.75	1
25-Feb-2024 21:07:28.59375	1
25-Feb-2024 13:17:10.25	1
25-Feb-2024 05:26:57.03125	1
24-Feb-2024 21:36:34.21875	1
24-Feb-2024 13:46:00.1875	1
24-Feb-2024 05:55:27.375	1
23-Feb-2024 22:05:05.6875	1
23-Feb-2024 14:14:45.875	1
23-Feb-2024 06:24:25.75	1
22-Feb-2024 22:34:07.1875	1
22-Feb-2024 14:43:48.46875	1
22-Feb-2024 06:53:36.625	1
21-Feb-2024 23:03:18.375	1
21-Feb-2024 15:12:59.28125	1
21-Feb-2024 07:22:35.90625	1
20-Feb-2024 23:32:17.90625	1
20-Feb-2024 15:41:59.125	1
20-Feb-2024 07:51:34.78125	1
20-Feb-2024 00:01:14.3125	1
19-Feb-2024 16:10:53.28125	1
19-Feb-2024 08:20:34.375	1
19-Feb-2024 00:30:08.96875	1
18-Feb-2024 16:39:47.875	1
18-Feb-2024 08:49:22.875	1
18-Feb-2024 00:59:08.5625	1
17-Feb-2024 17:08:48.25	1
17-Feb-2024 09:18:24.96875	1
17-Feb-2024 01:28:03.375	1
16-Feb-2024 17:37:30.78125	1
