Name	\\HST1\T1.TTWS1FI
Data Type	Float 32
Number of Values	16734
Time	Value	Value Attributes
30-Mar-2024 02:09:15.65625	-15
30-Mar-2024 01:52:56.4375	-15
30-Mar-2024 00:12:05.4375	-14
29-Mar-2024 22:53:04.15625	-14
29-Mar-2024 21:05:20.40625	-13
29-Mar-2024 20:51:29.28125	-13
29-Mar-2024 20:02:13.78125	-13
29-Mar-2024 19:08:31.25	-13
29-Mar-2024 16:34:13.21875	-13
29-Mar-2024 16:07:59.8125	-13
29-Mar-2024 15:28:50.40625	-13
29-Mar-2024 13:51:06.1875	-14
29-Mar-2024 13:31:50.9375	-14
29-Mar-2024 12:40:47.28125	-14
29-Mar-2024 10:56:24.0625	-14
29-Mar-2024 07:46:04.6875	-16
29-Mar-2024 06:31:57.59375	-16
29-Mar-2024 06:04:13.09375	-16
29-Mar-2024 05:31:30.46875	-17
29-Mar-2024 04:54:05.03125	-17
29-Mar-2024 01:21:41.34375	-17
28-Mar-2024 22:08:32.25	-17
28-Mar-2024 17:53:34.21875	-17
28-Mar-2024 15:55:39.875	-17
28-Mar-2024 13:46:25.09375	-17
28-Mar-2024 13:37:28.90625	-18
28-Mar-2024 13:07:32.65625	-18
28-Mar-2024 12:12:23.03125	-18
28-Mar-2024 08:20:08.65625	-19
28-Mar-2024 06:23:10.03125	-19
28-Mar-2024 06:14:26.8125	-20
28-Mar-2024 05:56:34.65625	-19
28-Mar-2024 05:39:41.5	-19
28-Mar-2024 05:25:20.3125	-20
28-Mar-2024 05:17:11.21875	-20
28-Mar-2024 03:09:13	-20
28-Mar-2024 03:08:54.38901	Intf Shut
28-Mar-2024 03:08:53	-20
28-Mar-2024 01:55:39.15625	-19
28-Mar-2024 00:38:05.21875	-19
27-Mar-2024 23:09:49.96875	-18
27-Mar-2024 22:12:31.125	-18
27-Mar-2024 21:31:41.65625	-17
27-Mar-2024 19:59:36.40625	-17
27-Mar-2024 18:16:47.09375	-16
27-Mar-2024 17:02:12.75	-16
27-Mar-2024 14:09:45.40625	-16
27-Mar-2024 12:05:22.40625	-16
27-Mar-2024 11:29:44.90625	-16
27-Mar-2024 11:13:56.75	-16
27-Mar-2024 10:59:02.5625	-16
27-Mar-2024 09:07:25.21875	-16
27-Mar-2024 08:17:59.4375	-16
27-Mar-2024 08:02:33.15625	-16
27-Mar-2024 07:38:50.78125	-16
27-Mar-2024 07:04:00.25	-16
27-Mar-2024 06:42:12.96875	-15
27-Mar-2024 06:04:19.46875	-15
27-Mar-2024 05:54:08.375	-15
27-Mar-2024 05:47:27.3125	-15
27-Mar-2024 05:41:39.1875	-15
27-Mar-2024 05:35:43.03125	-15
27-Mar-2024 05:28:06.96875	-15
27-Mar-2024 05:15:06.71875	-15
27-Mar-2024 04:49:51.375	-15
27-Mar-2024 04:27:58.125	-15
27-Mar-2024 04:19:50.03125	-15
27-Mar-2024 03:31:23.5625	-14
27-Mar-2024 02:53:54.9375	-14
27-Mar-2024 00:55:30.4375	-13
27-Mar-2024 00:24:42.0625	-12
26-Mar-2024 22:34:13.59375	-11
26-Mar-2024 21:32:26.6875	-11
26-Mar-2024 20:44:03	-10
26-Mar-2024 19:24:06.8125	-10
26-Mar-2024 18:36:14.34375	-10
26-Mar-2024 15:21:03.625	-10
26-Mar-2024 12:44:50.65625	-10
26-Mar-2024 11:48:10.0625	-10
26-Mar-2024 10:28:34.6875	-11
26-Mar-2024 10:11:15.3125	-11
26-Mar-2024 09:59:08.1875	-11
26-Mar-2024 09:48:59.1875	-11
26-Mar-2024 08:15:13.46875	-11
26-Mar-2024 08:04:25.34375	-11
26-Mar-2024 07:57:58.3125	-11
26-Mar-2024 07:49:17.15625	-11
26-Mar-2024 07:14:54.59375	-11
26-Mar-2024 06:36:20.03125	-11
26-Mar-2024 03:55:03.21875	-11
26-Mar-2024 03:44:04.96875	-11
26-Mar-2024 02:58:15.4375	-11
26-Mar-2024 02:27:45.96875	-10
26-Mar-2024 01:30:35.6875	-10
25-Mar-2024 23:26:27.46875	-9
25-Mar-2024 22:11:05.125	-9
25-Mar-2024 21:28:57.5	-9
25-Mar-2024 21:12:03.3125	-9
25-Mar-2024 20:46:19	-9
25-Mar-2024 20:04:05.53125	-9
25-Mar-2024 18:18:56.375	-9
25-Mar-2024 17:23:59.90625	-9
25-Mar-2024 14:54:46.0625	-10
25-Mar-2024 14:06:05.53125	-10
25-Mar-2024 13:31:27.96875	-10
25-Mar-2024 13:03:52.53125	-10
25-Mar-2024 11:37:58.125	-11
25-Mar-2024 11:17:57.84375	-11
25-Mar-2024 09:36:30.59375	-12
25-Mar-2024 08:52:54.125	-12
25-Mar-2024 08:32:37.71875	-13
25-Mar-2024 07:35:00.65625	-13
25-Mar-2024 05:51:17.125	-13
25-Mar-2024 04:44:43.46875	-13
25-Mar-2024 04:27:29.0625	-13
25-Mar-2024 02:25:53.34375	-13
25-Mar-2024 01:03:54.875	-12
25-Mar-2024 00:21:27.40625	-12
24-Mar-2024 23:25:15.75	-12
24-Mar-2024 22:58:27.46875	-12
24-Mar-2024 19:54:04.125	-11
24-Mar-2024 17:57:56.5625	-11
24-Mar-2024 17:21:12.90625	-11
24-Mar-2024 16:51:11.65625	-11
24-Mar-2024 13:50:35.78125	-11
24-Mar-2024 11:43:23.0625	-12
24-Mar-2024 11:43:19.0625	-11
24-Mar-2024 11:35:45.875	-11
24-Mar-2024 09:47:12.59375	-12
24-Mar-2024 08:33:06.46875	-12
24-Mar-2024 07:37:02.5625	-12
24-Mar-2024 05:15:26.09375	-11
24-Mar-2024 03:21:40.3125	-11
24-Mar-2024 01:10:22.8125	-10
23-Mar-2024 23:47:28.4375	-9
23-Mar-2024 22:27:33.28125	-9
23-Mar-2024 21:44:12.6875	-8
23-Mar-2024 20:49:11.09375	-8
23-Mar-2024 18:46:59.4375	-7
23-Mar-2024 17:47:58.90625	-6
23-Mar-2024 16:58:13.375	-6
23-Mar-2024 16:00:09.5625	-6
23-Mar-2024 15:04:02.625	-5
23-Mar-2024 14:21:47.1875	-5
23-Mar-2024 14:12:36	-5
23-Mar-2024 12:27:25.53125	-5
23-Mar-2024 11:28:55.6875	-4
23-Mar-2024 11:28:51.16701	Intf Shut
23-Mar-2024 11:27:54.6875	-4
23-Mar-2024 08:27:43.8125	-3
23-Mar-2024 08:17:58.59375	-3
23-Mar-2024 07:26:31	-2
23-Mar-2024 05:52:12.40625	-1
23-Mar-2024 05:14:09.46875	-1
23-Mar-2024 04:39:57.03125	0
23-Mar-2024 03:34:25.125	1
23-Mar-2024 02:41:52.34375	2
23-Mar-2024 02:28:15.1875	2
23-Mar-2024 02:12:13.625	3
23-Mar-2024 01:50:00.875	3
23-Mar-2024 01:31:53.5	4
23-Mar-2024 01:13:15.96875	5
23-Mar-2024 00:44:15.8125	6
23-Mar-2024 00:31:09.375	6
23-Mar-2024 00:29:01.25	6
23-Mar-2024 00:20:17.84375	6
23-Mar-2024 00:01:15.8125	7
22-Mar-2024 23:54:27.4375	7
22-Mar-2024 23:35:10	8
22-Mar-2024 23:30:55.875	8
22-Mar-2024 23:16:03.59375	8
22-Mar-2024 23:02:12.25	9
22-Mar-2024 22:58:29.1875	9
22-Mar-2024 22:54:16.09375	9
22-Mar-2024 22:50:27.9375	10
22-Mar-2024 22:41:54.6875	10
22-Mar-2024 22:15:30.84375	11
22-Mar-2024 22:04:04.53125	11
22-Mar-2024 21:50:39.1875	12
22-Mar-2024 21:37:47.6875	13
22-Mar-2024 21:22:46.0625	13
22-Mar-2024 21:10:49.6875	14
22-Mar-2024 21:01:58.40625	14
22-Mar-2024 20:51:06.09375	15
22-Mar-2024 20:24:38.28125	15
22-Mar-2024 20:06:40.75	16
22-Mar-2024 19:59:05.46875	17
22-Mar-2024 19:45:33.0625	18
22-Mar-2024 19:36:14.78125	18
22-Mar-2024 19:10:56.875	20
22-Mar-2024 18:59:30.46875	20
22-Mar-2024 18:37:07.09375	21
22-Mar-2024 18:11:08.5625	24
22-Mar-2024 17:41:07.78125	25
22-Mar-2024 17:41:02.78125	25
22-Mar-2024 17:40:21.78125	25
22-Mar-2024 17:33:16.5	26
22-Mar-2024 17:22:11.1875	27
22-Mar-2024 17:11:25.90625	27
22-Mar-2024 16:58:13.4375	28
22-Mar-2024 16:24:37.3125	31
22-Mar-2024 15:51:13.5625	34
22-Mar-2024 15:07:37.25	38
22-Mar-2024 14:32:18.8125	42
22-Mar-2024 13:47:48.1875	47
22-Mar-2024 12:58:25.75	53
22-Mar-2024 12:25:24.78125	58
22-Mar-2024 11:58:17.8125	63
22-Mar-2024 11:47:01.34375	65
22-Mar-2024 11:41:53.1875	66
22-Mar-2024 11:37:14.03125	67
22-Mar-2024 11:27:13.75	69
22-Mar-2024 11:23:33.59375	70
22-Mar-2024 11:20:21.53125	70
22-Mar-2024 11:15:22.46875	72
22-Mar-2024 11:10:02.28125	73
22-Mar-2024 11:03:22.21875	74
22-Mar-2024 11:00:18.0625	74
22-Mar-2024 10:54:07.78125	76
22-Mar-2024 10:48:06.59375	77
22-Mar-2024 10:44:55.46875	78
22-Mar-2024 10:42:48.3125	79
22-Mar-2024 10:37:05.25	80
22-Mar-2024 10:27:38.0625	82
22-Mar-2024 10:22:29.8125	84
22-Mar-2024 10:17:19.75	85
22-Mar-2024 10:14:04.65625	86
22-Mar-2024 10:06:39.375	88
22-Mar-2024 09:59:10	90
22-Mar-2024 09:54:34.75	91
22-Mar-2024 09:48:40.5625	93
22-Mar-2024 09:46:20.46875	94
22-Mar-2024 09:44:19.375	95
22-Mar-2024 09:39:31.125	96
22-Mar-2024 09:33:19.03125	97
22-Mar-2024 09:27:58.75	99
22-Mar-2024 09:23:38.625	101
22-Mar-2024 09:22:32.625	101
22-Mar-2024 09:19:01.53125	102
22-Mar-2024 09:16:24.5	103
22-Mar-2024 09:14:11.46875	104
22-Mar-2024 09:08:12.28125	106
22-Mar-2024 09:01:35.15625	109
22-Mar-2024 09:00:03.125	109
22-Mar-2024 08:55:18.90625	111
22-Mar-2024 08:54:10.84375	111
22-Mar-2024 08:50:04.75	113
22-Mar-2024 08:46:29.5625	114
22-Mar-2024 08:43:13.4375	116
22-Mar-2024 08:40:12.375	117
22-Mar-2024 08:34:32.125	117
22-Mar-2024 08:23:04.625	123
22-Mar-2024 08:14:46.40625	127
22-Mar-2024 08:00:07.90625	134
22-Mar-2024 07:43:31.1875	143
22-Mar-2024 07:36:52.84375	147
22-Mar-2024 07:25:08.46875	154
22-Mar-2024 07:12:16.90625	163
22-Mar-2024 07:09:16.84375	164
22-Mar-2024 06:56:55.4375	173
22-Mar-2024 06:44:10.0625	182
22-Mar-2024 06:39:09.9375	186
22-Mar-2024 06:30:26.65625	193
22-Mar-2024 06:22:37.34375	199
22-Mar-2024 06:14:21.25	206
22-Mar-2024 06:00:05.0625	217
22-Mar-2024 05:50:25.78125	226
22-Mar-2024 05:37:31.5	237
22-Mar-2024 05:35:33.5	238
22-Mar-2024 05:31:24.34375	242
22-Mar-2024 05:29:58.34375	243
22-Mar-2024 05:25:07.1875	247
22-Mar-2024 05:18:19.0625	253
22-Mar-2024 05:17:20.03125	254
22-Mar-2024 05:14:55.96875	256
22-Mar-2024 05:12:16.90625	258
22-Mar-2024 05:10:24.875	259
22-Mar-2024 05:10:04.875	260
22-Mar-2024 05:09:06.8125	260
22-Mar-2024 05:06:53.78125	262
22-Mar-2024 05:05:39.78125	264
22-Mar-2024 05:04:15.78125	264
22-Mar-2024 05:02:39.6875	265
22-Mar-2024 04:59:33.5625	268
22-Mar-2024 04:59:05.5625	268
22-Mar-2024 04:58:09.5625	268
