Name	\\HST1\T1.TNH
Data Type	Float 32
Number of Values	626
Time	Value	Value Attributes
30-Mar-2024 04:40:28.59375	0.00
30-Mar-2024 02:10:26.65625	0.00
29-Mar-2024 18:20:13.46875	0.00
29-Mar-2024 10:30:00.875	0.00
29-Mar-2024 02:39:53.40625	0.00
28-Mar-2024 18:49:41.875	0.00
28-Mar-2024 10:59:27.65625	0.00
28-Mar-2024 03:09:13	0.00
28-Mar-2024 03:08:54.38901	Intf Shut
28-Mar-2024 01:12:01.59375	0.00
27-Mar-2024 17:21:44.1875	0.00
27-Mar-2024 09:31:34.40625	0.00
27-Mar-2024 01:41:15.875	0.00
26-Mar-2024 17:51:09.75	0.00
26-Mar-2024 10:00:51.1875	0.00
26-Mar-2024 02:10:40.78125	0.00
25-Mar-2024 18:20:30.40625	0.00
25-Mar-2024 10:30:09.34375	0.00
25-Mar-2024 02:39:55.59375	0.00
24-Mar-2024 18:49:48.25	0.00
24-Mar-2024 10:59:41.53125	0.00
24-Mar-2024 03:09:22.1875	0.00
23-Mar-2024 19:19:15.84375	0.00
23-Mar-2024 11:28:55.6875	0.00
23-Mar-2024 11:28:51.16701	Intf Shut
23-Mar-2024 04:03:59.0625	0.00
22-Mar-2024 20:13:40.9375	0.00
22-Mar-2024 12:23:15.625	0.00
22-Mar-2024 04:32:56.125	0.00
22-Mar-2024 04:31:28.09375	0.84
22-Mar-2024 04:29:34.03125	2.47
22-Mar-2024 04:28:36.03125	4.45
22-Mar-2024 04:28:05	6.60
22-Mar-2024 04:27:47.96875	8.73
22-Mar-2024 04:27:35.9375	10.88
22-Mar-2024 04:27:32.9375	11.42
22-Mar-2024 04:27:27.9375	12.98
22-Mar-2024 04:27:25.9375	13.36
22-Mar-2024 04:27:20.9375	15.43
22-Mar-2024 04:27:19.9375	15.43
22-Mar-2024 04:27:14.9375	18.22
22-Mar-2024 04:27:13.9375	18.22
22-Mar-2024 04:27:12.9375	18.85
22-Mar-2024 04:27:07.9375	22.93
22-Mar-2024 04:27:06.9375	22.93
22-Mar-2024 04:27:05.9375	23.92
22-Mar-2024 04:27:01.9375	28.82
22-Mar-2024 04:27:00.9375	28.82
22-Mar-2024 04:26:58.9375	32.08
22-Mar-2024 04:26:56.9375	36.05
22-Mar-2024 04:26:55.9375	38.54
22-Mar-2024 04:26:54.9375	38.54
22-Mar-2024 04:26:53.9375	41.04
22-Mar-2024 04:26:51.9375	47.39
22-Mar-2024 04:26:49.9375	55.80
22-Mar-2024 04:26:48.9375	61.55
22-Mar-2024 04:26:47.9375	61.55
22-Mar-2024 04:26:46.9375	66.86
22-Mar-2024 04:26:43.9375	67.01
22-Mar-2024 04:26:42.9375	66.79
22-Mar-2024 04:26:40.9375	66.99
22-Mar-2024 04:26:39.9375	66.79
22-Mar-2024 04:26:36.9375	66.98
22-Mar-2024 04:26:26.9375	66.79
22-Mar-2024 04:26:25.9375	67.04
22-Mar-2024 04:26:24.9375	66.77
22-Mar-2024 04:26:23.9375	67.00
22-Mar-2024 04:26:12.9375	66.99
22-Mar-2024 04:26:11.9375	66.76
22-Mar-2024 04:26:10.9375	67.01
22-Mar-2024 04:26:08.90625	66.77
22-Mar-2024 04:26:07.90625	67.01
22-Mar-2024 04:26:06.90625	66.77
22-Mar-2024 04:26:05.90625	67.00
22-Mar-2024 04:25:53.90625	66.80
22-Mar-2024 04:25:52.90625	67.03
22-Mar-2024 04:25:51.90625	66.76
22-Mar-2024 04:25:49.90625	67.03
22-Mar-2024 04:25:48.90625	66.79
22-Mar-2024 04:25:47.90625	67.03
22-Mar-2024 04:25:46.90625	66.77
22-Mar-2024 04:25:45.90625	66.99
22-Mar-2024 04:25:30.90625	66.85
22-Mar-2024 04:25:26.90625	66.78
22-Mar-2024 04:25:24.90625	67.00
22-Mar-2024 04:25:23.90625	66.79
22-Mar-2024 04:25:22.90625	67.00
22-Mar-2024 04:25:21.90625	66.77
22-Mar-2024 04:25:20.90625	66.99
22-Mar-2024 04:25:18.90625	66.75
22-Mar-2024 04:25:17.90625	67.03
22-Mar-2024 04:25:16.90625	66.77
22-Mar-2024 04:25:15.90625	67.02
22-Mar-2024 04:25:14.90625	66.76
22-Mar-2024 04:25:13.90625	67.02
22-Mar-2024 04:25:11.90625	66.77
22-Mar-2024 04:25:10.90625	67.04
22-Mar-2024 04:25:09.90625	66.75
22-Mar-2024 04:25:08.90625	67.03
22-Mar-2024 04:25:07.90625	66.79
22-Mar-2024 04:25:05.90625	67.03
22-Mar-2024 04:25:04.90625	66.76
22-Mar-2024 04:25:03.90625	67.03
22-Mar-2024 04:25:02.90625	66.77
22-Mar-2024 04:25:01.90625	67.04
22-Mar-2024 04:24:59.90625	66.78
22-Mar-2024 04:24:58.90625	67.02
22-Mar-2024 04:24:57.90625	66.75
22-Mar-2024 04:24:56.90625	67.02
22-Mar-2024 04:24:55.90625	66.77
22-Mar-2024 04:24:54.90625	67.03
22-Mar-2024 04:24:52.90625	66.78
22-Mar-2024 04:24:51.90625	67.00
22-Mar-2024 04:24:50.90625	66.76
22-Mar-2024 04:24:49.90625	67.01
22-Mar-2024 04:24:48.90625	66.75
22-Mar-2024 04:24:46.90625	67.02
22-Mar-2024 04:24:45.90625	66.77
22-Mar-2024 04:24:44.90625	66.99
22-Mar-2024 04:24:43.90625	66.79
22-Mar-2024 04:24:42.90625	67.00
22-Mar-2024 04:24:40.90625	66.77
22-Mar-2024 04:24:39.90625	66.99
22-Mar-2024 04:24:19.84375	66.97
22-Mar-2024 04:24:16.84375	66.79
22-Mar-2024 04:24:14.84375	67.00
22-Mar-2024 04:24:13.84375	66.76
22-Mar-2024 04:24:12.84375	67.02
22-Mar-2024 04:24:11.84375	66.75
22-Mar-2024 04:24:10.84375	67.02
22-Mar-2024 04:24:08.84375	66.77
22-Mar-2024 04:24:07.84375	67.03
