Date,Time,T1_TNH1
2-Nov-2023,08:34:30.80101,85.93
2-Nov-2023,08:34:43.15625,88.49
2-Nov-2023,08:35:50.21875,88.49
2-Nov-2023,11:35:21.53125,87.86
2-Nov-2023,14:24:14.375,87.32
2-Nov-2023,16:25:04.28125,86.97
2-Nov-2023,19:26:05.0625,86.76
2-Nov-2023,23:01:50.6875,86.21
2-Nov-2023,23:02:57.71875,85.93
2-Nov-2023,23:04:48.8125,85.68
3-Nov-2023,01:03:39.3125,85.70
3-Nov-2023,04:09:05.71875,87.68
3-Nov-2023,05:39:50.90625,88.11
3-Nov-2023,06:22:18.34375,87.80
3-Nov-2023,09:12:29.625,88.04
3-Nov-2023,11:49:02.59375,87.29
3-Nov-2023,14:10:01.59375,86.95
3-Nov-2023,14:54:55.03125,86.52
3-Nov-2023,15:38:29.53125,86.57
3-Nov-2023,16:58:37.3125,86.32
3-Nov-2023,17:56:50.5,86.21
3-Nov-2023,19:15:12.4375,86.20
3-Nov-2023,21:00:00.03125,85.89
3-Nov-2023,21:24:21.1875,85.77
4-Nov-2023,01:19:16.625,85.91
4-Nov-2023,04:40:08.0625,86.34
4-Nov-2023,04:46:43.8125,86.21
4-Nov-2023,06:06:36.625,86.57
4-Nov-2023,10:21:44.9375,86.83
4-Nov-2023,18:19:21.78125,85.83
4-Nov-2023,23:09:20.46875,85.66
5-Nov-2023,00:55:39.5625,85.60
5-Nov-2023,04:30:45.125,87.96
5-Nov-2023,07:50:31.125,88.16
5-Nov-2023,09:57:39.53125,87.66
5-Nov-2023,10:53:16.75,87.20
5-Nov-2023,12:16:16.9375,86.85
5-Nov-2023,13:23:28.03125,86.73
5-Nov-2023,15:51:23.75,86.43
5-Nov-2023,18:01:01.28125,86.14
5-Nov-2023,20:32:38.4375,85.69
5-Nov-2023,20:36:40.96875,85.29
5-Nov-2023,20:39:34.21875,85.04
5-Nov-2023,20:41:18.28125,84.11
5-Nov-2023,20:46:59.90625,84.60
5-Nov-2023,20:47:30.90625,84.88
5-Nov-2023,21:02:29.125,85.13
5-Nov-2023,21:10:49.9375,85.24
5-Nov-2023,21:11:19.0625,86.03
6-Nov-2023,00:17:03.8125,86.01
6-Nov-2023,03:04:59.15625,87.37
6-Nov-2023,05:36:21.1875,88.06
6-Nov-2023,09:34:36.375,87.85
6-Nov-2023,11:29:45.96875,87.25
6-Nov-2023,14:01:41.1875,87.04
6-Nov-2023,15:27:30.0625,86.69
6-Nov-2023,16:04:46.71875,86.64
6-Nov-2023,16:33:52.03125,86.39
6-Nov-2023,17:40:34.125,86.66
6-Nov-2023,22:38:41.09375,86.35
6-Nov-2023,23:31:15.1875,86.05
7-Nov-2023,01:00:53.9375,86.71
7-Nov-2023,05:27:32.9375,88.18
7-Nov-2023,09:44:23.78125,87.94
7-Nov-2023,11:54:39.9375,87.40
7-Nov-2023,13:30:46.09375,87.28
7-Nov-2023,14:55:05.25,87.07
7-Nov-2023,15:56:09.46875,86.83
7-Nov-2023,18:32:46.84375,86.66
7-Nov-2023,19:51:28.53125,86.46
7-Nov-2023,22:17:44.625,86.01
7-Nov-2023,23:47:09.5,86.03
8-Nov-2023,02:23:18.25,86.41
8-Nov-2023,05:35:11.375,87.45
8-Nov-2023,09:31:26.1875,87.50
8-Nov-2023,13:19:28.25,86.95
8-Nov-2023,13:39:44.15625,87.11
8-Nov-2023,19:49:02.5625,86.39
8-Nov-2023,23:35:04.40625,86.43
9-Nov-2023,05:07:18.875,87.57
9-Nov-2023,09:16:27.53125,87.76
9-Nov-2023,09:17:46.59375,88.09
9-Nov-2023,09:59:33.84375,88.14
9-Nov-2023,12:45:31.40625,87.46
9-Nov-2023,15:38:41.84375,86.78
9-Nov-2023,19:14:00.09375,86.42
