Date,Time,T1_TNLA
16-Feb-2024,18:58:51.03125,0.000
17-Feb-2024,02:53:03,-0.016
17-Feb-2024,10:51:31.53125,0.031
17-Feb-2024,18:46:30,0.016
18-Feb-2024,02:39:33.5,0.016
18-Feb-2024,10:33:11.625,0.000
18-Feb-2024,18:25:14.03125,-0.031
19-Feb-2024,02:15:35.0625,0.031
19-Feb-2024,10:05:55.5625,-0.016
19-Feb-2024,17:56:13.625,0.000
20-Feb-2024,01:46:28.71875,0.000
20-Feb-2024,09:37:18.15625,0.000
20-Feb-2024,17:27:35.71875,-0.016
21-Feb-2024,01:17:48.15625,0.000
21-Feb-2024,03:32:59.8125,0.016
21-Feb-2024,03:33:00.8125,-0.188
21-Feb-2024,03:33:04.8125,0.156
21-Feb-2024,03:33:05.8125,-0.172
21-Feb-2024,03:33:06.8125,0.156
21-Feb-2024,03:33:13.8125,-0.008
21-Feb-2024,08:39:26.1875,-0.047
21-Feb-2024,12:51:44.78125,0.000
21-Feb-2024,13:55:44.78125,0.023
21-Feb-2024,18:41:54.71875,-0.047
21-Feb-2024,20:21:24.96875,0.063
22-Feb-2024,04:16:51.09375,-0.031
22-Feb-2024,06:19:36.59375,-0.016
22-Feb-2024,08:29:07.3125,-0.016
22-Feb-2024,08:52:03.71875,-0.063
22-Feb-2024,08:52:06.71875,0.203
22-Feb-2024,08:52:15.71875,-0.016
22-Feb-2024,08:59:22.84375,0.063
22-Feb-2024,16:53:57.25,-0.016
23-Feb-2024,00:51:31.375,0.016
23-Feb-2024,08:51:14.28125,-0.031
23-Feb-2024,16:47:34.5,0.016
24-Feb-2024,00:41:59.5,0.000
24-Feb-2024,08:32:26.6875,0.016
24-Feb-2024,16:31:11.25,0.031
25-Feb-2024,00:30:59.0625,-0.016
25-Feb-2024,08:29:49.0625,0.063
25-Feb-2024,16:25:59.03125,0.000
26-Feb-2024,00:22:45.59375,0.016
26-Feb-2024,08:17:31.59375,0.000
26-Feb-2024,16:15:09.5625,0.000
27-Feb-2024,00:08:00.96875,0.000
27-Feb-2024,07:58:22.625,0.000
27-Feb-2024,15:49:54.625,0.000
27-Feb-2024,23:45:10.9375,-0.031
28-Feb-2024,07:40:24.9375,0.016
28-Feb-2024,15:39:03.8125,0.063
28-Feb-2024,23:38:35.65625,0.000
29-Feb-2024,02:00:56.78125,-0.078
29-Feb-2024,02:01:22.84375,0.000
29-Feb-2024,02:18:46.6875,-0.031
29-Feb-2024,04:58:24.6875,0.031
29-Feb-2024,08:04:50.625,0.000
29-Feb-2024,15:55:50.09375,0.016
29-Feb-2024,23:46:20.96875,0.016
1-Mar-2024,07:43:56.34375,0.000
1-Mar-2024,15:38:15.84375,0.000
1-Mar-2024,23:36:04.78125,-0.008
2-Mar-2024,00:38:38.53125,0.047
2-Mar-2024,08:33:32.21875,0.000
2-Mar-2024,16:25:15.0625,-0.016
3-Mar-2024,00:18:53.65625,0.016
3-Mar-2024,08:09:07.21875,0.016
3-Mar-2024,16:08:47.6875,0.000
4-Mar-2024,00:06:44.0625,0.000
4-Mar-2024,07:59:40.8125,0.000
4-Mar-2024,15:49:52.28125,0.016
4-Mar-2024,22:46:05.5,-0.016
5-Mar-2024,02:17:33.3125,-0.031
5-Mar-2024,03:03:30.9375,0.031
5-Mar-2024,03:34:31.46875,0.063
5-Mar-2024,04:30:38.21875,0.047
5-Mar-2024,06:27:37.96875,0.031
5-Mar-2024,14:24:19.59375,0.031
5-Mar-2024,22:18:46.78125,0.016
6-Mar-2024,06:18:33.6875,0.000
6-Mar-2024,14:17:40.90625,0.000
6-Mar-2024,22:08:01.59375,0.031
7-Mar-2024,06:00:47.0625,0.000
7-Mar-2024,13:57:05.8125,0.016
7-Mar-2024,21:54:25.875,0.000
8-Mar-2024,05:53:50,-0.016
8-Mar-2024,13:43:56.5,0.000
8-Mar-2024,21:43:21.375,-0.016
9-Mar-2024,05:33:34.28125,0.000
9-Mar-2024,13:23:46.4375,-0.031
9-Mar-2024,21:13:54.78125,0.000
10-Mar-2024,06:04:05.34375,-0.031
10-Mar-2024,13:54:18.125,-0.031
10-Mar-2024,21:53:11.4375,0.000
11-Mar-2024,05:49:48.75,-0.016
11-Mar-2024,13:40:07.4375,0.000
11-Mar-2024,21:34:54.5625,0.000
12-Mar-2024,05:25:06.875,-0.016
12-Mar-2024,13:15:25.3125,-0.016
12-Mar-2024,21:13:30.71875,-0.016
13-Mar-2024,05:06:28.25,-0.016
13-Mar-2024,13:00:42.75,0.016
13-Mar-2024,20:56:40.5625,-0.016
14-Mar-2024,04:54:13.40625,0.000
14-Mar-2024,12:45:05.4375,-0.016
14-Mar-2024,19:53:03.59375,0.000
14-Mar-2024,19:53:57.84375,0.031
14-Mar-2024,19:53:58.84375,Bad
14-Mar-2024,20:03:02.75,0.000
15-Mar-2024,04:00:25.59375,0.000
15-Mar-2024,11:51:11.09375,0.000
15-Mar-2024,19:47:16.34375,0.031
16-Mar-2024,03:46:13.59375,-0.031
16-Mar-2024,11:36:28.6875,0.016
16-Mar-2024,19:26:41.71875,-0.016
17-Mar-2024,03:16:55.21875,-0.016
17-Mar-2024,11:07:08.1875,-0.031
17-Mar-2024,18:57:20.46875,0.000
18-Mar-2024,02:47:33.6875,0.000
18-Mar-2024,10:37:46.84375,0.000
18-Mar-2024,18:31:19.53125,-0.031
19-Mar-2024,02:21:32,0.000
19-Mar-2024,10:11:44.21875,0.000
19-Mar-2024,18:02:03.1875,0.016
20-Mar-2024,01:52:20.59375,0.016
20-Mar-2024,09:42:38.625,0.016
20-Mar-2024,17:39:16.40625,0.016
21-Mar-2024,01:38:45.5625,-0.016
21-Mar-2024,09:29:06.21875,-0.016
21-Mar-2024,17:19:24.34375,0.031
22-Mar-2024,01:09:44.75,0.000
22-Mar-2024,03:53:21.09375,0.047
22-Mar-2024,04:15:55.6875,-0.016
22-Mar-2024,04:21:47.78125,0.000
22-Mar-2024,04:21:50.78125,-0.109
22-Mar-2024,04:21:51.78125,0.047
22-Mar-2024,04:21:52.78125,-0.227
22-Mar-2024,04:21:54.78125,-1.250
22-Mar-2024,04:22:02.84375,-2.508
22-Mar-2024,04:22:05.84375,-2.492
22-Mar-2024,04:22:09.84375,-0.969
22-Mar-2024,04:22:13.84375,-0.313
22-Mar-2024,04:22:14.84375,-0.438
22-Mar-2024,04:22:15.84375,-0.125
22-Mar-2024,04:22:23.84375,-0.125
22-Mar-2024,04:22:24.84375,0.109
22-Mar-2024,04:22:25.84375,-0.172
22-Mar-2024,04:22:29.84375,0.078
22-Mar-2024,04:22:36.84375,-0.141
22-Mar-2024,04:22:37.84375,0.109
22-Mar-2024,04:22:38.84375,-0.133
22-Mar-2024,04:22:39.84375,0.141
22-Mar-2024,04:22:41.84375,-0.109
22-Mar-2024,04:22:45.84375,-0.063
22-Mar-2024,04:22:56.84375,-0.094
22-Mar-2024,04:23:01.84375,0.094
22-Mar-2024,04:23:02.84375,-0.094
22-Mar-2024,04:23:03.84375,0.141
22-Mar-2024,04:23:04.84375,-0.109
22-Mar-2024,04:23:19.84375,0.078
22-Mar-2024,04:23:20.84375,-0.156
22-Mar-2024,04:23:22.84375,-0.047
22-Mar-2024,04:23:32.84375,0.109
22-Mar-2024,04:23:33.84375,-0.141
22-Mar-2024,04:23:36.84375,0.141
22-Mar-2024,04:23:39.84375,-0.016
22-Mar-2024,04:23:48.84375,-0.094
22-Mar-2024,04:23:49.84375,0.148
22-Mar-2024,04:23:53.84375,-0.094
22-Mar-2024,04:23:56.84375,0.000
22-Mar-2024,04:24:07.84375,0.094
22-Mar-2024,04:24:09.84375,0.055
22-Mar-2024,04:24:38.90625,-0.102
22-Mar-2024,04:24:39.90625,0.133
22-Mar-2024,04:24:43.90625,-0.141
22-Mar-2024,04:24:44.90625,0.125
22-Mar-2024,04:24:50.90625,-0.094
22-Mar-2024,04:24:52.90625,-0.047
22-Mar-2024,04:24:55.90625,-0.125
22-Mar-2024,04:24:56.90625,0.141
22-Mar-2024,04:25:02.90625,-0.094
22-Mar-2024,04:25:04.90625,-0.047
22-Mar-2024,04:25:14.90625,-0.125
22-Mar-2024,04:25:17.90625,0.055
22-Mar-2024,04:25:18.90625,-0.125
22-Mar-2024,04:25:20.90625,0.109
