Time,Value,Value Attributes
30-Mar-2024,05:28:30.46875,25
30-Mar-2024,05:28:04.40625,25
30-Mar-2024,05:28:03.40625,25
30-Mar-2024,05:28:00.40625,25
30-Mar-2024,05:27:58.375,25
30-Mar-2024,05:27:56.375,25
30-Mar-2024,05:27:55.375,25
30-Mar-2024,05:27:53.375,25
30-Mar-2024,05:27:50.375,25
30-Mar-2024,05:27:44.375,25
30-Mar-2024,05:27:42.375,25
30-Mar-2024,05:27:41.375,25
30-Mar-2024,05:27:39.375,25
30-Mar-2024,05:27:28.375,25
30-Mar-2024,05:27:26.375,25
30-Mar-2024,05:27:25.375,25
30-Mar-2024,05:27:23.375,25
30-Mar-2024,05:27:22.375,25
30-Mar-2024,05:27:18.375,25
30-Mar-2024,05:27:17.375,25
30-Mar-2024,05:27:16.375,25
30-Mar-2024,05:27:10.375,25
30-Mar-2024,05:27:09.34375,25
30-Mar-2024,05:27:07.34375,25
30-Mar-2024,05:27:03.34375,25
30-Mar-2024,05:27:01.34375,25
30-Mar-2024,05:26:47.34375,25
30-Mar-2024,05:26:46.34375,25
30-Mar-2024,05:26:40.34375,25
30-Mar-2024,05:26:36.34375,25
30-Mar-2024,05:26:35.34375,25
30-Mar-2024,05:26:33.34375,25
30-Mar-2024,05:26:05.34375,25
30-Mar-2024,05:26:04.34375,25
30-Mar-2024,05:25:40.3125,25
30-Mar-2024,05:25:31.3125,25
30-Mar-2024,05:25:27.28125,25
30-Mar-2024,05:25:25.28125,25
30-Mar-2024,05:25:13.28125,25
30-Mar-2024,05:25:09.28125,25
30-Mar-2024,05:25:04.28125,25
30-Mar-2024,05:25:02.28125,25
30-Mar-2024,05:24:52.28125,25
30-Mar-2024,05:24:48.28125,25
30-Mar-2024,05:24:46.28125,25
30-Mar-2024,05:24:45.28125,25
30-Mar-2024,05:24:22.25,25
30-Mar-2024,05:23:42.25,25
30-Mar-2024,05:23:41.25,25
30-Mar-2024,05:23:33.25,25
30-Mar-2024,05:23:31.25,25
30-Mar-2024,05:23:30.25,25
30-Mar-2024,05:23:24.25,25
30-Mar-2024,05:23:18.21875,25
30-Mar-2024,05:23:17.21875,25
30-Mar-2024,05:23:14.21875,25
30-Mar-2024,05:23:12.21875,25
30-Mar-2024,05:23:03.21875,25
30-Mar-2024,05:23:02.21875,25
30-Mar-2024,05:22:58.21875,25
30-Mar-2024,05:22:51.21875,25
30-Mar-2024,05:22:36.21875,25
30-Mar-2024,05:22:19.1875,25
30-Mar-2024,05:22:15.1875,25
30-Mar-2024,05:22:08.1875,25
30-Mar-2024,05:22:06.1875,25
30-Mar-2024,05:21:55.1875,25
30-Mar-2024,05:21:54.1875,25
30-Mar-2024,05:21:49.1875,24
30-Mar-2024,05:21:47.1875,25
30-Mar-2024,05:21:42.125,24
30-Mar-2024,05:21:41.125,25
30-Mar-2024,05:21:40.125,24
30-Mar-2024,05:21:39.125,25
30-Mar-2024,05:21:38.125,24
30-Mar-2024,05:21:33.125,24
30-Mar-2024,05:21:32.125,25
30-Mar-2024,05:21:29.125,24
30-Mar-2024,05:21:27.09375,25
30-Mar-2024,05:21:24.09375,24
30-Mar-2024,05:21:23.09375,25
30-Mar-2024,05:21:22.09375,24
30-Mar-2024,05:21:20.09375,25
30-Mar-2024,05:21:17.09375,24
30-Mar-2024,05:21:16.09375,25
30-Mar-2024,05:21:15.09375,24
30-Mar-2024,05:21:09.09375,24
30-Mar-2024,05:21:08.09375,25
30-Mar-2024,05:21:04.09375,24
30-Mar-2024,05:21:01.09375,25
30-Mar-2024,05:21:00.09375,24
30-Mar-2024,05:20:52.09375,24
30-Mar-2024,05:20:51.09375,25
30-Mar-2024,05:20:50.09375,24
30-Mar-2024,05:20:46.09375,25
30-Mar-2024,05:20:39.09375,24
30-Mar-2024,05:20:36.09375,25
30-Mar-2024,05:20:35.09375,24
30-Mar-2024,05:20:30.09375,25
30-Mar-2024,05:20:29.09375,24
30-Mar-2024,05:20:12.09375,25
30-Mar-2024,05:20:04.09375,25
30-Mar-2024,05:20:00.09375,25
30-Mar-2024,05:19:47.09375,25
30-Mar-2024,05:19:44.09375,24
30-Mar-2024,05:19:37.09375,25
30-Mar-2024,05:19:25.03125,25
30-Mar-2024,05:19:17.03125,25
30-Mar-2024,05:19:16.03125,24
30-Mar-2024,05:19:15.03125,24
30-Mar-2024,05:19:02.03125,25
30-Mar-2024,05:18:51.03125,25
30-Mar-2024,05:18:29,25
30-Mar-2024,05:18:16.96875,24
30-Mar-2024,05:18:07.96875,25
30-Mar-2024,05:18:05.96875,24
30-Mar-2024,05:18:02.96875,24
30-Mar-2024,05:18:01.96875,25
30-Mar-2024,05:17:31.875,25
30-Mar-2024,05:17:29.875,25
30-Mar-2024,05:17:26.875,25
30-Mar-2024,05:17:23.875,24
30-Mar-2024,05:17:21.875,25
30-Mar-2024,05:17:16.875,25
30-Mar-2024,05:16:59.875,25
30-Mar-2024,05:16:54.875,24
30-Mar-2024,05:16:53.875,25
30-Mar-2024,05:16:45.875,25
30-Mar-2024,05:16:43.875,25
30-Mar-2024,05:16:42.875,25
30-Mar-2024,05:16:35.875,25
30-Mar-2024,05:16:34.875,25
30-Mar-2024,05:16:33.875,25
30-Mar-2024,05:16:21.875,25
30-Mar-2024,05:16:20.875,24
30-Mar-2024,05:16:19.875,25
30-Mar-2024,05:16:09.875,25
30-Mar-2024,05:16:08.875,25
30-Mar-2024,05:16:06.875,25
30-Mar-2024,05:16:03.875,25
30-Mar-2024,05:16:02.875,25
30-Mar-2024,05:15:50.875,24
30-Mar-2024,05:15:49.875,25
30-Mar-2024,05:15:48.875,25
30-Mar-2024,05:15:40.875,25
30-Mar-2024,05:15:30.875,24
30-Mar-2024,05:15:27.875,25
30-Mar-2024,05:15:25.875,24
30-Mar-2024,05:15:20.84375,25
30-Mar-2024,05:15:18.84375,25
30-Mar-2024,05:15:17.84375,25
30-Mar-2024,05:15:04.8125,25
30-Mar-2024,05:15:02.8125,25
30-Mar-2024,05:15:01.8125,25
30-Mar-2024,05:15:00.8125,25
30-Mar-2024,05:14:59.8125,25
30-Mar-2024,05:14:19.71875,25
30-Mar-2024,05:14:18.71875,25
30-Mar-2024,05:14:16.6875,25
30-Mar-2024,05:14:11.6875,25
30-Mar-2024,05:14:10.6875,25
30-Mar-2024,05:14:08.6875,25
30-Mar-2024,05:14:06.6875,25
30-Mar-2024,05:14:05.6875,25
30-Mar-2024,05:14:02.6875,25
30-Mar-2024,05:14:01.6875,25
30-Mar-2024,05:13:59.6875,25
30-Mar-2024,05:13:38.65625,25
30-Mar-2024,05:13:36.65625,25
30-Mar-2024,05:13:34.65625,25
30-Mar-2024,05:13:29.65625,25
30-Mar-2024,05:13:27.65625,25
30-Mar-2024,05:13:25.65625,25
30-Mar-2024,05:13:16.65625,25
30-Mar-2024,05:13:15.65625,25
30-Mar-2024,05:13:13.65625,25
