Time,Value,Value Attributes
30-Mar-2024,04:40:28.59375,0.00
30-Mar-2024,02:10:26.65625,0.00
29-Mar-2024,18:20:13.46875,0.00
29-Mar-2024,10:30:00.875,0.00
29-Mar-2024,02:39:53.40625,0.00
28-Mar-2024,18:49:41.875,0.00
28-Mar-2024,10:59:27.65625,0.00
28-Mar-2024,03:09:13,0.00
28-Mar-2024,03:08:54.38901,Intf,Shut
28-Mar-2024,01:12:01.59375,0.00
27-Mar-2024,17:21:44.1875,0.00
27-Mar-2024,09:31:34.40625,0.00
27-Mar-2024,01:41:15.875,0.00
26-Mar-2024,17:51:09.75,0.00
26-Mar-2024,10:00:51.1875,0.00
26-Mar-2024,02:10:40.78125,0.00
25-Mar-2024,18:20:30.40625,0.00
25-Mar-2024,10:30:09.34375,0.00
25-Mar-2024,02:39:55.59375,0.00
24-Mar-2024,18:49:48.25,0.00
24-Mar-2024,10:59:41.53125,0.00
24-Mar-2024,03:09:22.1875,0.00
23-Mar-2024,19:19:15.84375,0.00
23-Mar-2024,11:28:55.6875,0.00
23-Mar-2024,11:28:51.16701,Intf,Shut
23-Mar-2024,03:59:39,0.00
22-Mar-2024,20:09:22.78125,0.00
22-Mar-2024,12:18:58.4375,0.00
22-Mar-2024,04:28:37.03125,0.00
22-Mar-2024,04:28:31.03125,0.51
22-Mar-2024,04:28:04,2.44
22-Mar-2024,04:27:25.9375,5.62
22-Mar-2024,04:27:16.9375,7.25
22-Mar-2024,04:27:13.9375,7.83
22-Mar-2024,04:27:07.9375,10.02
22-Mar-2024,04:27:06.9375,10.02
22-Mar-2024,04:27:01.9375,12.73
22-Mar-2024,04:27:00.9375,12.73
22-Mar-2024,04:26:58.9375,14.19
22-Mar-2024,04:26:55.9375,17.09
22-Mar-2024,04:26:54.9375,17.09
22-Mar-2024,04:26:51.9375,20.88
22-Mar-2024,04:26:48.9375,26.15
22-Mar-2024,04:26:47.9375,26.15
22-Mar-2024,04:26:46.9375,27.38
22-Mar-2024,04:23:07.84375,27.43
22-Mar-2024,04:22:21.84375,27.92
22-Mar-2024,04:22:14.84375,28.95
22-Mar-2024,04:22:11.84375,30.57
22-Mar-2024,04:22:09.84375,32.69
22-Mar-2024,04:22:08.84375,32.69
22-Mar-2024,04:22:06.84375,36.63
22-Mar-2024,04:22:04.84375,42.21
22-Mar-2024,04:22:03.84375,45.42
22-Mar-2024,04:22:02.84375,45.42
22-Mar-2024,04:22:00.8125,51.09
22-Mar-2024,04:21:58.78125,56.25
22-Mar-2024,04:21:56.78125,60.41
22-Mar-2024,04:21:55.78125,60.41
22-Mar-2024,04:21:53.78125,63.45
22-Mar-2024,04:21:52.78125,64.33
22-Mar-2024,04:21:49.78125,64.50
22-Mar-2024,04:21:47.78125,64.91
22-Mar-2024,04:20:43.78125,65.04
22-Mar-2024,04:20:09.75,67.74
22-Mar-2024,04:16:08.6875,67.79
22-Mar-2024,04:11:31.53125,67.89
22-Mar-2024,04:09:41.5,68.05
22-Mar-2024,04:09:24.5,67.39
22-Mar-2024,03:52:16.0625,67.32
22-Mar-2024,03:50:26.0625,76.44
22-Mar-2024,03:50:22.0625,76.87
22-Mar-2024,01:09:35.75,76.99
21-Mar-2024,17:10:42.0625,76.99
21-Mar-2024,09:17:45.9375,76.96
21-Mar-2024,01:21:32.125,77.00
20-Mar-2024,17:22:45.1875,76.99
20-Mar-2024,09:32:09.28125,77.00
20-Mar-2024,01:39:01.1875,77.03
19-Mar-2024,17:46:21.8125,76.99
19-Mar-2024,09:54:37.96875,77.04
19-Mar-2024,02:01:06.71875,76.98
18-Mar-2024,18:04:12.1875,77.00
18-Mar-2024,10:13:56.4375,77.00
18-Mar-2024,02:14:20.375,76.99
17-Mar-2024,18:20:07.96875,77.01
17-Mar-2024,10:28:09.53125,76.98
17-Mar-2024,02:33:18.5,77.00
16-Mar-2024,18:41:35.3125,76.98
16-Mar-2024,10:42:36.0625,77.01
16-Mar-2024,02:51:02.625,77.01
15-Mar-2024,18:53:20.96875,76.98
15-Mar-2024,10:55:04.40625,76.96
15-Mar-2024,03:54:57.4375,76.96
14-Mar-2024,20:03:02.75,76.96
14-Mar-2024,19:53:58.84375,Bad
14-Mar-2024,19:53:57.84375,77.01
14-Mar-2024,19:53:03.59375,77.01
14-Mar-2024,13:40:58.96875,77.00
14-Mar-2024,05:43:34.25,76.98
13-Mar-2024,21:51:47.0625,76.99
13-Mar-2024,13:53:46.5625,76.97
13-Mar-2024,05:58:12.71875,77.01
12-Mar-2024,22:04:17.59375,76.99
12-Mar-2024,14:10:08.84375,77.01
12-Mar-2024,06:15:20.4375,77.00
11-Mar-2024,22:16:34.90625,76.99
11-Mar-2024,14:20:16.3125,76.99
11-Mar-2024,06:29:11.25,76.98
10-Mar-2024,22:30:47.625,76.99
10-Mar-2024,14:35:43.75,77.00
10-Mar-2024,06:45:08.84375,77.00
9-Mar-2024,21:54:57.25,77.00
9-Mar-2024,13:58:45.03125,76.99
9-Mar-2024,06:00:36.46875,76.98
8-Mar-2024,22:00:45.46875,77.00
8-Mar-2024,14:00:50.8125,77.00
8-Mar-2024,06:03:17.125,77.00
7-Mar-2024,22:12:07.03125,76.99
7-Mar-2024,22:11:49.03125,75.66
7-Mar-2024,14:23:19.1875,75.62
7-Mar-2024,06:24:04.25,75.64
6-Mar-2024,22:24:19.78125,75.63
