Date,Time,T1_A26BJ2B
23-Apr-2023,20:17:02.90625,53
23-Apr-2023,20:27:26.5,53
23-Apr-2023,20:33:28.75,53
23-Apr-2023,20:36:43.9375,53
23-Apr-2023,20:42:20.0625,53
23-Apr-2023,20:46:45.15625,53
23-Apr-2023,20:52:19.34375,53
23-Apr-2023,20:57:42.5625,53
23-Apr-2023,21:02:55.84375,53
23-Apr-2023,21:07:36.0625,53
23-Apr-2023,21:13:20.3125,53
23-Apr-2023,21:16:10.53125,53
23-Apr-2023,21:23:48.8125,53
23-Apr-2023,21:26:46.875,53
23-Apr-2023,21:31:30.15625,53
23-Apr-2023,21:35:47.25,53
23-Apr-2023,21:46:33.5625,53
23-Apr-2023,21:49:19.65625,53
23-Apr-2023,21:54:18.875,53
23-Apr-2023,21:59:19.96875,53
23-Apr-2023,22:05:08.4375,53
23-Apr-2023,22:09:05.625,53
23-Apr-2023,22:13:52.78125,53
23-Apr-2023,22:19:14,53
23-Apr-2023,22:25:32.25,53
23-Apr-2023,22:36:11.6875,53
23-Apr-2023,22:41:03.90625,53
23-Apr-2023,22:55:37.65625,53
23-Apr-2023,22:59:22.75,53
23-Apr-2023,23:01:16.90625,53
23-Apr-2023,23:05:43.09375,53
23-Apr-2023,23:15:02.5,53
23-Apr-2023,23:20:15.75,53
23-Apr-2023,23:28:28.25,53
23-Apr-2023,23:32:08.53125,53
23-Apr-2023,23:35:48.625,53
23-Apr-2023,23:39:34.75,53
23-Apr-2023,23:45:43,53
23-Apr-2023,23:50:24.03125,53
23-Apr-2023,23:57:15.40625,53
23-Apr-2023,23:59:15.5,53
24-Apr-2023,00:04:57.6875,53
24-Apr-2023,00:11:08.84375,53
24-Apr-2023,00:15:47.96875,53
24-Apr-2023,00:22:41.28125,53
24-Apr-2023,00:36:40.75,53
24-Apr-2023,00:42:18.875,53
24-Apr-2023,00:44:28.96875,53
24-Apr-2023,00:59:02.65625,53
24-Apr-2023,01:01:24.71875,53
24-Apr-2023,01:08:42.96875,53
24-Apr-2023,01:15:43.53125,53
24-Apr-2023,01:21:47.84375,53
24-Apr-2023,01:26:40.9375,53
24-Apr-2023,01:32:14.34375,53
24-Apr-2023,01:36:55.46875,53
24-Apr-2023,01:44:14.625,53
24-Apr-2023,01:47:55.71875,53
24-Apr-2023,01:52:38.9375,53
24-Apr-2023,01:56:45,53
24-Apr-2023,02:04:42.3125,53
24-Apr-2023,02:11:45.5625,53
24-Apr-2023,02:42:24.96875,53
24-Apr-2023,03:10:01.9375,53
24-Apr-2023,03:14:47.0625,53
24-Apr-2023,03:27:19.65625,54
24-Apr-2023,03:35:36.9375,54
24-Apr-2023,03:40:48.21875,54
24-Apr-2023,03:52:12.875,54
24-Apr-2023,04:13:32.84375,55
24-Apr-2023,04:14:40.90625,55
24-Apr-2023,04:26:24.21875,55
24-Apr-2023,04:28:56.34375,55
24-Apr-2023,04:32:05.53125,55
24-Apr-2023,04:38:32.6875,55
24-Apr-2023,04:39:58.78125,55
24-Apr-2023,04:58:26.21875,55
24-Apr-2023,05:04:37.46875,55
24-Apr-2023,05:09:52.5625,55
24-Apr-2023,05:13:39.75,55
24-Apr-2023,05:26:31.21875,55
24-Apr-2023,05:27:28.21875,55
24-Apr-2023,05:37:27.5625,55
24-Apr-2023,05:38:54.59375,56
24-Apr-2023,05:48:10.0625,56
24-Apr-2023,05:56:53.34375,56
24-Apr-2023,05:59:03.4375,56
24-Apr-2023,06:03:49.65625,56
24-Apr-2023,06:04:05.65625,56
24-Apr-2023,06:08:07.78125,56
24-Apr-2023,06:15:05,56
24-Apr-2023,06:19:57.0625,56
24-Apr-2023,06:22:59.09375,56
24-Apr-2023,06:26:22.3125,56
24-Apr-2023,06:30:48.5625,56
24-Apr-2023,06:37:15.90625,56
24-Apr-2023,06:54:45.4375,56
24-Apr-2023,06:59:11.59375,56
24-Apr-2023,07:02:52.75,56
24-Apr-2023,07:05:28.75,56
24-Apr-2023,07:09:22.8125,56
24-Apr-2023,07:17:23.09375,56
24-Apr-2023,07:19:14.125,56
24-Apr-2023,07:19:17.125,56
24-Apr-2023,07:27:39.40625,56
24-Apr-2023,07:34:33.78125,56
24-Apr-2023,07:36:18.84375,56
24-Apr-2023,07:39:18.03125,56
24-Apr-2023,07:45:38.125,56
24-Apr-2023,07:45:44.125,56
24-Apr-2023,07:52:09.3125,56
24-Apr-2023,07:53:01.34375,56
24-Apr-2023,07:56:07.34375,56
24-Apr-2023,08:05:50.40625,56
24-Apr-2023,08:10:52.65625,56
24-Apr-2023,08:11:00.65625,56
24-Apr-2023,08:13:27.71875,56
24-Apr-2023,08:19:38.03125,56
24-Apr-2023,08:22:33.125,56
24-Apr-2023,08:23:58.15625,56
24-Apr-2023,08:24:58.15625,56
24-Apr-2023,08:24:59.15625,56
24-Apr-2023,08:27:54.3125,56
24-Apr-2023,08:30:05.4375,56
24-Apr-2023,08:35:51.5625,56
24-Apr-2023,08:37:40.5625,56
24-Apr-2023,08:38:16.59375,56
24-Apr-2023,08:43:09.84375,56
24-Apr-2023,08:48:25.03125,56
24-Apr-2023,08:49:46.0625,56
24-Apr-2023,08:53:22.1875,56
24-Apr-2023,09:00:35.46875,56
24-Apr-2023,09:11:14.9375,56
24-Apr-2023,09:14:08.03125,56
24-Apr-2023,09:22:24.28125,56
24-Apr-2023,09:31:49.6875,56
24-Apr-2023,09:37:23.90625,56
24-Apr-2023,09:41:49.0625,56
24-Apr-2023,09:45:47.21875,56
24-Apr-2023,09:49:24.34375,56
24-Apr-2023,09:57:19.59375,56
24-Apr-2023,10:01:11.71875,57
24-Apr-2023,10:04:44.90625,56
24-Apr-2023,10:05:29.9375,56
24-Apr-2023,10:08:51,57
24-Apr-2023,10:12:04.125,56
24-Apr-2023,10:12:06.125,56
24-Apr-2023,10:16:07.1875,56
24-Apr-2023,10:24:14.5,56
24-Apr-2023,10:24:15.5,56
24-Apr-2023,10:24:21.53125,56
24-Apr-2023,10:28:32.59375,56
24-Apr-2023,10:28:34.59375,56
24-Apr-2023,10:28:58.59375,56
24-Apr-2023,10:29:04.59375,56
24-Apr-2023,10:48:50.3125,56
24-Apr-2023,10:53:23.34375,56
24-Apr-2023,11:01:28.8125,56
24-Apr-2023,11:05:57.9375,56
24-Apr-2023,11:10:07.15625,56
24-Apr-2023,11:10:14.15625,56
24-Apr-2023,11:12:34.34375,56
24-Apr-2023,11:14:30.4375,56
24-Apr-2023,11:14:31.4375,56
24-Apr-2023,11:14:33.4375,56
24-Apr-2023,11:14:41.4375,56
24-Apr-2023,11:19:46.625,56
24-Apr-2023,11:23:30.875,56
24-Apr-2023,11:35:51.34375,56
24-Apr-2023,11:41:54.75,56
24-Apr-2023,11:50:25.9375,55
24-Apr-2023,11:59:56.375,56
24-Apr-2023,12:01:40.4375,55
24-Apr-2023,12:11:07.65625,55
24-Apr-2023,12:17:39.90625,55
24-Apr-2023,12:22:24.0625,55
24-Apr-2023,12:57:51.25,55
24-Apr-2023,13:37:13.09375,55
24-Apr-2023,14:16:54.03125,54
24-Apr-2023,14:22:51.40625,54
24-Apr-2023,14:42:03.1875,54
24-Apr-2023,15:06:44.25,54
24-Apr-2023,15:09:49.28125,53
24-Apr-2023,15:22:42.9375,53
24-Apr-2023,15:32:36.25,53
24-Apr-2023,15:36:24.34375,53
24-Apr-2023,15:54:28,53
24-Apr-2023,15:59:37.34375,53
24-Apr-2023,16:03:13.59375,53
24-Apr-2023,16:08:47.78125,53
24-Apr-2023,16:13:28.96875,53
24-Apr-2023,16:15:58.03125,53
24-Apr-2023,16:24:31.3125,53
24-Apr-2023,16:48:24.3125,53
24-Apr-2023,16:51:18.375,53
24-Apr-2023,16:55:24.53125,53
24-Apr-2023,16:57:35.59375,53
24-Apr-2023,17:00:40.75,53
24-Apr-2023,17:10:13.03125,53
24-Apr-2023,17:15:14.1875,53
24-Apr-2023,17:18:12.3125,53
24-Apr-2023,17:28:08.9375,53
24-Apr-2023,17:31:23.03125,53
24-Apr-2023,17:36:31.15625,53
24-Apr-2023,17:38:23.25,53
24-Apr-2023,17:42:37.46875,53
24-Apr-2023,17:47:28.59375,53
24-Apr-2023,17:51:27.6875,53
24-Apr-2023,17:55:12.8125,53
24-Apr-2023,17:58:40.84375,53
24-Apr-2023,18:01:18.125,53
24-Apr-2023,18:06:59.25,53
24-Apr-2023,18:11:12.34375,53
24-Apr-2023,18:16:37.5,53
24-Apr-2023,18:18:23.53125,53
24-Apr-2023,18:25:00.96875,53
24-Apr-2023,18:26:59.03125,53
