Date,Time,T1_A26BTAA
23-Apr-2023,20:12:01.875,68
23-Apr-2023,20:16:28.90625,68
23-Apr-2023,20:20:30.125,68
23-Apr-2023,20:25:48.34375,68
23-Apr-2023,20:36:11.9375,68
23-Apr-2023,20:39:03.96875,68
23-Apr-2023,20:44:56.09375,68
23-Apr-2023,20:49:18.25,68
23-Apr-2023,20:54:37.5,69
23-Apr-2023,20:58:36.65625,68
23-Apr-2023,21:04:16.875,68
23-Apr-2023,21:08:49.0625,68
23-Apr-2023,21:14:54.40625,68
23-Apr-2023,21:23:13.78125,68
23-Apr-2023,21:30:12.09375,68
23-Apr-2023,21:33:55.1875,69
23-Apr-2023,21:36:48.28125,68
23-Apr-2023,21:48:18.59375,68
23-Apr-2023,21:51:12.75,68
23-Apr-2023,21:55:52.90625,69
23-Apr-2023,21:59:36.96875,68
23-Apr-2023,22:05:31.46875,69
23-Apr-2023,22:12:58.78125,68
23-Apr-2023,22:17:06.84375,68
23-Apr-2023,22:22:54.125,68
23-Apr-2023,22:27:00.40625,69
23-Apr-2023,22:29:28.5,68
23-Apr-2023,22:36:59.6875,68
23-Apr-2023,22:43:45.125,68
23-Apr-2023,22:49:06.34375,68
23-Apr-2023,22:54:15.5625,68
23-Apr-2023,22:59:13.75,68
23-Apr-2023,23:00:55.90625,69
23-Apr-2023,23:05:39.09375,68
23-Apr-2023,23:13:29.40625,68
23-Apr-2023,23:17:31.59375,68
23-Apr-2023,23:21:53.90625,69
23-Apr-2023,23:24:48.09375,68
23-Apr-2023,23:28:02.1875,69
23-Apr-2023,23:32:10.53125,68
23-Apr-2023,23:35:15.625,68
23-Apr-2023,23:39:06.71875,69
23-Apr-2023,23:43:27.84375,68
23-Apr-2023,23:47:05,69
23-Apr-2023,23:54:44.28125,68
23-Apr-2023,23:59:03.5,69
24-Apr-2023,00:02:14.625,68
24-Apr-2023,00:05:49.71875,69
24-Apr-2023,00:14:17.875,68
24-Apr-2023,00:17:27.09375,69
24-Apr-2023,00:32:39.40625,68
24-Apr-2023,00:34:30.59375,68
24-Apr-2023,00:37:42.78125,68
24-Apr-2023,00:43:15.875,68
24-Apr-2023,00:45:19.96875,68
24-Apr-2023,00:51:34.40625,68
24-Apr-2023,00:52:27.4375,68
24-Apr-2023,00:58:23.65625,69
24-Apr-2023,00:59:59.6875,69
24-Apr-2023,01:01:10.71875,68
24-Apr-2023,01:05:52.90625,68
24-Apr-2023,01:09:00,69
24-Apr-2023,01:12:17.28125,68
24-Apr-2023,01:15:38.53125,68
24-Apr-2023,01:19:49.6875,69
24-Apr-2023,01:21:40.84375,68
24-Apr-2023,01:25:32.9375,68
24-Apr-2023,01:28:05.0625,69
24-Apr-2023,01:35:16.46875,68
24-Apr-2023,01:36:35.46875,68
24-Apr-2023,01:41:27.59375,68
24-Apr-2023,01:46:20.65625,68
24-Apr-2023,01:50:00.78125,68
24-Apr-2023,01:54:54,68
24-Apr-2023,01:57:11,68
24-Apr-2023,02:00:21.1875,68
24-Apr-2023,02:05:48.3125,68
24-Apr-2023,02:09:52.4375,68
24-Apr-2023,02:12:38.625,68
24-Apr-2023,02:25:00.1875,68
24-Apr-2023,02:31:46.625,68
24-Apr-2023,02:41:10.875,68
24-Apr-2023,02:49:23.4375,68
24-Apr-2023,03:00:10.65625,68
24-Apr-2023,03:06:40.8125,68
24-Apr-2023,03:12:33,68
24-Apr-2023,03:20:24.40625,69
24-Apr-2023,03:22:16.4375,69
24-Apr-2023,03:26:20.65625,69
24-Apr-2023,03:27:40.6875,69
24-Apr-2023,03:30:48.75,69
24-Apr-2023,03:35:16.9375,69
24-Apr-2023,03:42:09.21875,69
24-Apr-2023,03:51:06.75,69
24-Apr-2023,03:52:03.84375,69
24-Apr-2023,03:52:07.84375,69
24-Apr-2023,03:53:13.90625,69
24-Apr-2023,03:53:17.90625,69
24-Apr-2023,03:56:23.15625,69
24-Apr-2023,04:06:59.71875,69
24-Apr-2023,04:09:14.75,69
24-Apr-2023,04:11:33.8125,69
24-Apr-2023,04:13:23.84375,70
24-Apr-2023,04:21:47.96875,70
24-Apr-2023,04:29:00.34375,70
24-Apr-2023,04:32:39.53125,70
24-Apr-2023,04:34:33.5625,70
24-Apr-2023,04:34:38.5625,70
24-Apr-2023,04:38:25.6875,70
24-Apr-2023,04:40:16.78125,70
24-Apr-2023,04:51:21.0625,70
24-Apr-2023,04:57:44.21875,70
24-Apr-2023,05:05:50.46875,70
24-Apr-2023,05:11:10.5625,70
24-Apr-2023,05:17:05.9375,70
24-Apr-2023,05:25:27.21875,70
24-Apr-2023,05:27:10.21875,71
24-Apr-2023,05:30:38.28125,70
24-Apr-2023,05:38:16.59375,71
24-Apr-2023,05:43:23.8125,71
24-Apr-2023,05:45:47,71
24-Apr-2023,05:48:52.09375,71
24-Apr-2023,05:52:51.21875,71
24-Apr-2023,05:59:44.4375,71
24-Apr-2023,06:01:45.4375,71
24-Apr-2023,06:04:33.65625,71
24-Apr-2023,06:05:41.6875,71
24-Apr-2023,06:09:46.875,71
24-Apr-2023,06:17:10.0625,71
24-Apr-2023,06:18:43.0625,71
24-Apr-2023,06:20:02.0625,71
24-Apr-2023,06:22:48.09375,71
24-Apr-2023,06:23:58.1875,71
24-Apr-2023,06:27:45.40625,71
24-Apr-2023,06:35:52.8125,71
24-Apr-2023,06:39:24.9375,71
24-Apr-2023,06:41:24,71
24-Apr-2023,06:41:30,71
24-Apr-2023,06:52:38.3125,71
24-Apr-2023,06:58:22.53125,71
24-Apr-2023,07:01:43.71875,71
24-Apr-2023,07:05:05.75,72
24-Apr-2023,07:07:00.75,71
24-Apr-2023,07:07:03.75,71
24-Apr-2023,07:08:18.75,71
24-Apr-2023,07:16:40.09375,71
24-Apr-2023,07:17:12.09375,72
24-Apr-2023,07:20:13.125,72
24-Apr-2023,07:21:02.1875,71
24-Apr-2023,07:21:03.1875,72
24-Apr-2023,07:21:06.1875,71
24-Apr-2023,07:21:14.1875,71
24-Apr-2023,07:27:37.40625,71
24-Apr-2023,07:28:53.40625,71
24-Apr-2023,07:34:28.78125,71
24-Apr-2023,07:38:55.96875,71
24-Apr-2023,07:49:00.1875,71
24-Apr-2023,07:51:07.21875,71
24-Apr-2023,07:51:11.21875,71
24-Apr-2023,07:53:49.34375,71
24-Apr-2023,07:56:02.34375,71
24-Apr-2023,08:04:22.40625,71
24-Apr-2023,08:13:27.71875,71
24-Apr-2023,08:18:50,71
24-Apr-2023,08:22:41.125,71
24-Apr-2023,08:24:11.15625,71
24-Apr-2023,08:26:23.1875,71
24-Apr-2023,08:27:58.34375,71
24-Apr-2023,08:35:46.5625,71
24-Apr-2023,08:40:02.6875,71
24-Apr-2023,08:45:44.90625,71
24-Apr-2023,08:51:19.125,71
24-Apr-2023,08:57:19.3125,71
24-Apr-2023,09:07:13.8125,71
24-Apr-2023,09:10:18.90625,71
24-Apr-2023,09:12:26,71
24-Apr-2023,09:20:33.25,71
24-Apr-2023,09:25:09.40625,71
24-Apr-2023,09:29:04.46875,72
24-Apr-2023,09:30:47.59375,71
24-Apr-2023,09:35:30.875,72
24-Apr-2023,09:38:36.90625,72
24-Apr-2023,09:38:39.90625,71
24-Apr-2023,09:38:47.90625,72
24-Apr-2023,09:41:50.0625,71
24-Apr-2023,09:41:58.0625,71
24-Apr-2023,09:44:53.1875,71
24-Apr-2023,09:48:20.34375,71
24-Apr-2023,09:50:40.375,71
24-Apr-2023,09:53:46.46875,71
24-Apr-2023,09:53:47.46875,72
24-Apr-2023,09:53:58.46875,71
24-Apr-2023,09:54:21.46875,72
24-Apr-2023,09:54:37.46875,71
24-Apr-2023,10:00:04.71875,72
24-Apr-2023,10:03:01.78125,72
24-Apr-2023,10:04:26.90625,71
24-Apr-2023,10:08:05,72
24-Apr-2023,10:12:21.125,71
24-Apr-2023,10:18:05.3125,71
24-Apr-2023,10:18:07.3125,71
24-Apr-2023,10:20:36.34375,71
24-Apr-2023,10:24:51.53125,71
24-Apr-2023,10:28:09.59375,71
24-Apr-2023,10:39:03.9375,71
24-Apr-2023,10:50:00.3125,71
24-Apr-2023,10:52:01.34375,71
24-Apr-2023,10:58:52.5,71
24-Apr-2023,11:05:58.9375,71
24-Apr-2023,11:10:57.21875,71
24-Apr-2023,11:11:06.21875,72
24-Apr-2023,11:13:33.375,72
24-Apr-2023,11:20:04.65625,71
24-Apr-2023,11:22:56.8125,71
24-Apr-2023,11:32:31.25,71
24-Apr-2023,11:39:59.5625,71
24-Apr-2023,11:46:26.84375,71
24-Apr-2023,11:57:00.1875,71
24-Apr-2023,12:00:33.4375,71
24-Apr-2023,12:07:55.59375,71
24-Apr-2023,12:08:00.59375,70
24-Apr-2023,12:08:31.625,71
