Date,Time,T1_A26BTAB
23-Apr-2023,20:12:15.875,65
23-Apr-2023,20:15:35.90625,65
23-Apr-2023,20:20:14.125,65
23-Apr-2023,20:25:02.28125,65
23-Apr-2023,20:29:10.5,65
23-Apr-2023,20:31:34.71875,65
23-Apr-2023,20:37:23.96875,65
23-Apr-2023,20:41:09,65
23-Apr-2023,20:45:02.125,65
23-Apr-2023,20:49:02.25,65
23-Apr-2023,20:51:18.34375,65
23-Apr-2023,20:51:55.34375,65
23-Apr-2023,20:57:24.5625,65
23-Apr-2023,21:00:14.71875,65
23-Apr-2023,21:01:42.8125,65
23-Apr-2023,21:01:46.8125,65
23-Apr-2023,21:07:48.0625,65
23-Apr-2023,21:11:20.1875,65
23-Apr-2023,21:14:55.40625,65
23-Apr-2023,21:15:36.4375,65
23-Apr-2023,21:17:47.5625,65
23-Apr-2023,21:26:08.8125,65
23-Apr-2023,21:28:26.96875,65
23-Apr-2023,21:30:31.125,65
23-Apr-2023,21:33:33.1875,66
23-Apr-2023,21:33:34.1875,65
23-Apr-2023,21:33:42.1875,66
23-Apr-2023,21:35:48.25,65
23-Apr-2023,21:35:56.25,65
23-Apr-2023,21:38:02.28125,65
23-Apr-2023,21:43:51.46875,65
23-Apr-2023,21:43:52.46875,65
23-Apr-2023,21:43:58.46875,65
23-Apr-2023,21:47:45.59375,66
23-Apr-2023,21:49:18.65625,65
23-Apr-2023,21:51:52.75,65
23-Apr-2023,21:53:06.78125,65
23-Apr-2023,21:53:08.78125,65
23-Apr-2023,21:56:16.90625,66
23-Apr-2023,21:59:06.96875,65
23-Apr-2023,21:59:07.96875,65
23-Apr-2023,21:59:29.96875,65
23-Apr-2023,22:04:03.40625,65
23-Apr-2023,22:08:29.625,65
23-Apr-2023,22:13:23.78125,65
23-Apr-2023,22:13:24.78125,65
23-Apr-2023,22:18:10.90625,65
23-Apr-2023,22:18:18.90625,65
23-Apr-2023,22:18:41.90625,65
23-Apr-2023,22:23:44.125,65
23-Apr-2023,22:23:47.125,65
23-Apr-2023,22:24:00.125,65
23-Apr-2023,22:24:03.125,65
23-Apr-2023,22:26:32.375,66
23-Apr-2023,22:27:47.40625,65
23-Apr-2023,22:27:49.40625,65
23-Apr-2023,22:31:52.59375,65
23-Apr-2023,22:36:37.6875,65
23-Apr-2023,22:36:43.6875,65
23-Apr-2023,22:38:54.78125,65
23-Apr-2023,22:43:31.09375,66
23-Apr-2023,22:46:55.28125,65
23-Apr-2023,22:46:58.28125,65
23-Apr-2023,22:47:00.28125,65
23-Apr-2023,22:47:34.28125,65
23-Apr-2023,22:54:58.65625,65
23-Apr-2023,22:59:52.75,65
23-Apr-2023,23:02:14.9375,66
23-Apr-2023,23:06:23.125,65
23-Apr-2023,23:09:19.28125,65
23-Apr-2023,23:13:51.40625,65
23-Apr-2023,23:18:27.625,65
23-Apr-2023,23:21:33.875,66
23-Apr-2023,23:23:32.0625,65
23-Apr-2023,23:26:44.125,65
23-Apr-2023,23:29:55.40625,66
23-Apr-2023,23:34:58.625,65
23-Apr-2023,23:37:49.65625,66
23-Apr-2023,23:41:37.84375,65
23-Apr-2023,23:47:22,66
23-Apr-2023,23:53:57.25,65
23-Apr-2023,23:58:40.46875,66
24-Apr-2023,00:02:30.65625,65
24-Apr-2023,00:05:32.6875,66
24-Apr-2023,00:11:09.84375,65
24-Apr-2023,00:17:34.09375,66
24-Apr-2023,00:28:13.34375,65
24-Apr-2023,00:32:37.40625,65
24-Apr-2023,00:33:48.5,65
24-Apr-2023,00:39:15.78125,65
24-Apr-2023,00:43:05.875,65
24-Apr-2023,00:48:18.15625,65
24-Apr-2023,00:50:05.375,65
24-Apr-2023,00:53:13.46875,65
24-Apr-2023,00:57:40.625,65
24-Apr-2023,00:57:41.625,65
24-Apr-2023,00:57:43.625,65
24-Apr-2023,00:59:25.6875,65
24-Apr-2023,01:01:22.71875,65
24-Apr-2023,01:05:12.875,65
24-Apr-2023,01:07:31.96875,65
24-Apr-2023,01:09:52.09375,65
24-Apr-2023,01:10:00.125,65
24-Apr-2023,01:15:32.53125,65
24-Apr-2023,01:18:23.625,65
24-Apr-2023,01:18:31.625,65
