Date,Time,T1_BBH1
24-Apr-2023,01:47:30.71875,0.0
24-Apr-2023,09:37:54.90625,0.0
24-Apr-2023,17:28:21.9375,0.0
25-Apr-2023,01:18:45.0625,0.0
25-Apr-2023,09:09:11.21875,0.0
25-Apr-2023,16:59:38.90625,0.0
26-Apr-2023,00:50:03.78125,0.0
26-Apr-2023,08:40:30.15625,0.0
26-Apr-2023,16:30:51.6875,0.0
27-Apr-2023,00:21:17.0625,0.0
27-Apr-2023,08:11:37.90625,0.0
27-Apr-2023,16:02:05.0625,0.0
27-Apr-2023,23:52:26.03125,0.0
28-Apr-2023,07:42:48.625,0.0
28-Apr-2023,15:33:23.59375,0.0
28-Apr-2023,23:23:53.84375,0.0
29-Apr-2023,07:14:19.84375,0.0
29-Apr-2023,15:04:45.75,0.0
29-Apr-2023,22:55:09.375,0.0
30-Apr-2023,06:45:32.6875,0.0
30-Apr-2023,14:35:57.15625,0.0
30-Apr-2023,22:26:24.3125,0.0
1-May-2023,06:16:51.4375,0.0
1-May-2023,14:07:18.40625,0.0
1-May-2023,21:57:40.0625,0.0
2-May-2023,05:48:01.03125,0.0
2-May-2023,13:38:22.0625,0.0
2-May-2023,21:28:50.71875,0.0
3-May-2023,05:19:25.03125,0.0
3-May-2023,13:09:58.875,0.0
3-May-2023,21:00:32.59375,0.0
4-May-2023,04:51:06.59375,0.0
4-May-2023,12:41:37.59375,0.0
4-May-2023,20:32:09.4375,0.0
5-May-2023,04:22:42.25,0.0
5-May-2023,12:13:16.75,0.0
5-May-2023,20:03:48.4375,0.0
6-May-2023,03:54:24.21875,0.0
6-May-2023,11:45:01.25,0.0
6-May-2023,19:35:31.65625,0.0
7-May-2023,03:26:01.03125,0.0
7-May-2023,11:16:30.375,0.0
7-May-2023,19:07:10.3125,0.0
8-May-2023,02:57:45.1875,0.0
8-May-2023,10:48:19.6875,0.0
8-May-2023,18:38:54.375,0.0
9-May-2023,02:29:30.875,0.0
9-May-2023,10:20:06.125,0.0
9-May-2023,18:10:45.03125,0.0
10-May-2023,02:01:16.59375,0.0
10-May-2023,09:51:51.8125,0.0
10-May-2023,17:42:26.4375,0.0
11-May-2023,01:33:00.5625,0.0
11-May-2023,09:23:32.34375,0.0
11-May-2023,17:14:06.84375,0.0
12-May-2023,01:04:42.375,0.0
12-May-2023,08:55:17.9375,0.0
12-May-2023,16:45:51.71875,0.0
13-May-2023,00:36:27.0625,0.0
13-May-2023,07:06:58.09375,0.0
16-May-2023,03:46:13.34375,0.0
16-May-2023,03:47:18.4375,0.0
16-May-2023,11:37:47.96875,0.0
16-May-2023,19:28:15.5625,0.0
17-May-2023,03:18:35.78125,0.0
17-May-2023,11:08:58.21875,0.0
17-May-2023,18:59:25.25,0.0
18-May-2023,02:49:47.21875,0.0
18-May-2023,10:40:12.71875,0.0
18-May-2023,18:30:33.15625,0.0
19-May-2023,02:21:00,0.0
19-May-2023,10:11:23.375,0.0
19-May-2023,18:01:48.875,0.0
20-May-2023,01:52:10,0.0
20-May-2023,09:42:33.0625,0.0
20-May-2023,17:32:57.03125,0.0
21-May-2023,01:23:18.625,0.0
21-May-2023,09:13:43.21875,0.0
21-May-2023,17:04:04.28125,0.0
22-May-2023,00:54:20.21875,0.0
22-May-2023,08:44:46.40625,0.0
22-May-2023,16:35:10.28125,0.0
23-May-2023,00:25:32.84375,0.0
23-May-2023,08:16:01.40625,0.0
23-May-2023,16:06:25.65625,0.0
23-May-2023,23:56:53.21875,0.0
24-May-2023,07:47:23.4375,0.0
24-May-2023,15:37:50.75,0.0
24-May-2023,23:28:16.59375,0.0
25-May-2023,07:18:40.15625,0.0
25-May-2023,15:09:06.8125,0.0
25-May-2023,22:59:32.625,0.0
26-May-2023,06:49:56.65625,0.0
26-May-2023,14:40:20.46875,0.0
26-May-2023,22:30:46.90625,0.0
27-May-2023,06:21:15.8125,0.0
27-May-2023,14:11:48.6875,0.0
27-May-2023,22:02:16.71875,0.0
28-May-2023,05:52:47.03125,0.0
28-May-2023,09:43:47.0625,0.1
28-May-2023,09:43:49.0625,0.8
28-May-2023,09:47:25.3125,0.6
28-May-2023,09:47:30.3125,0.0
28-May-2023,09:47:44.34375,0.1
28-May-2023,09:47:46.34375,0.4
28-May-2023,09:48:40.34375,0.4
28-May-2023,09:49:06.34375,0.3
28-May-2023,09:49:11.40625,0.4
28-May-2023,09:49:38.40625,0.8
28-May-2023,09:55:51.65625,0.7
28-May-2023,10:02:59.8125,0.6
28-May-2023,10:03:34.8125,0.2
28-May-2023,10:04:07.875,0.1
28-May-2023,10:04:13.875,0.5
28-May-2023,10:04:41.90625,0.2
28-May-2023,10:04:42.90625,0.0
28-May-2023,10:06:07.96875,0.7
28-May-2023,10:07:16.03125,0.4
28-May-2023,10:07:19.03125,0.1
28-May-2023,10:07:31.0625,0.2
28-May-2023,10:08:01.0625,0.0
28-May-2023,10:08:06.0625,0.7
28-May-2023,10:08:52.15625,0.5
28-May-2023,10:08:55.15625,0.0
28-May-2023,10:09:14.15625,0.0
28-May-2023,10:09:19.15625,0.7
28-May-2023,10:10:31.21875,0.4
28-May-2023,10:10:33.21875,0.0
28-May-2023,10:10:45.21875,0.1
28-May-2023,10:11:00.21875,0.8
28-May-2023,10:11:56.28125,0.5
28-May-2023,10:12:15.28125,0.5
28-May-2023,10:12:18.28125,0.8
28-May-2023,10:12:58.3125,0.5
28-May-2023,10:13:01.3125,0.1
28-May-2023,10:13:06.3125,0.5
28-May-2023,10:20:30.84375,0.8
28-May-2023,10:23:09.09375,0.6
28-May-2023,10:24:13.21875,0.6
28-May-2023,10:25:23.3125,0.5
28-May-2023,10:26:48.40625,0.6
28-May-2023,10:29:26.5,0.4
28-May-2023,10:29:28.5,0.0
28-May-2023,10:29:38.53125,0.3
28-May-2023,10:29:43.53125,0.7
28-May-2023,10:30:34.59375,0.6
28-May-2023,10:30:36.59375,0.1
28-May-2023,10:31:09.625,0.1
28-May-2023,10:31:33.625,0.2
28-May-2023,10:31:51.625,0.5
28-May-2023,10:32:53.65625,0.5
28-May-2023,10:39:42.03125,0.7
28-May-2023,10:43:52.28125,0.6
28-May-2023,10:43:57.28125,0.0
28-May-2023,10:44:08.3125,0.0
28-May-2023,10:44:11.3125,0.5
28-May-2023,10:44:21.3125,0.0
28-May-2023,10:44:31.34375,0.0
28-May-2023,10:44:33.34375,0.5
28-May-2023,10:44:46.34375,0.4
28-May-2023,10:46:08.4375,0.8
28-May-2023,10:47:51.5,0.6
28-May-2023,11:03:41.46875,0.6
28-May-2023,11:03:49.46875,0.3
28-May-2023,11:04:14.46875,0.8
28-May-2023,11:05:49.59375,0.6
28-May-2023,11:05:53.59375,0.0
28-May-2023,11:07:22.71875,0.6
28-May-2023,11:08:00.75,0.4
28-May-2023,11:08:03.75,0.0
28-May-2023,11:08:14.75,0.5
28-May-2023,11:10:16.78125,0.5
28-May-2023,11:11:47.8125,0.3
28-May-2023,11:11:53.8125,0.5
28-May-2023,11:13:26.875,0.6
28-May-2023,11:15:52.96875,0.4
28-May-2023,11:17:11.0625,0.4
28-May-2023,11:19:22.125,0.2
28-May-2023,11:19:41.125,0.3
28-May-2023,11:20:46.125,0.5
28-May-2023,11:21:23.125,0.6
28-May-2023,11:22:01.125,0.4
28-May-2023,11:22:03.125,0.0
28-May-2023,11:22:54.1875,0.2
28-May-2023,11:23:06.1875,0.2
28-May-2023,11:23:23.1875,0.0
28-May-2023,11:23:26.21875,0.6
28-May-2023,11:23:40.21875,0.2
28-May-2023,11:24:08.21875,0.4
28-May-2023,11:24:27.21875,0.0
28-May-2023,11:25:32.3125,0.2
28-May-2023,11:25:38.3125,0.7
28-May-2023,11:26:11.3125,0.3
28-May-2023,11:26:13.3125,0.0
28-May-2023,11:27:03.4375,0.1
28-May-2023,11:27:07.4375,0.7
28-May-2023,11:28:23.53125,0.3
28-May-2023,11:28:24.53125,0.1
28-May-2023,11:38:01.09375,0.3
28-May-2023,11:38:24.125,0.1
28-May-2023,11:38:30.125,0.2
28-May-2023,11:38:52.1875,0.4
28-May-2023,11:38:54.1875,0.0
28-May-2023,11:41:17.34375,0.2
28-May-2023,11:42:07.40625,0.1
28-May-2023,11:42:41.40625,0.2
28-May-2023,11:42:53.40625,0.2
28-May-2023,11:46:08.59375,0.0
28-May-2023,11:46:12.59375,0.5
28-May-2023,11:46:52.625,0.2
28-May-2023,11:46:57.625,0.2
28-May-2023,12:00:31.28125,0.1
28-May-2023,12:00:40.28125,0.4
28-May-2023,12:00:47.28125,0.0
28-May-2023,12:00:49.28125,0.3
28-May-2023,12:01:04.28125,0.0
28-May-2023,12:36:58.15625,0.2
28-May-2023,15:47:28.875,0.0
28-May-2023,23:37:58.21875,0.0
29-May-2023,07:28:34.6875,0.0
29-May-2023,15:19:06.40625,0.0
29-May-2023,23:09:38.875,0.0
30-May-2023,07:00:08.28125,0.0
30-May-2023,14:50:41.625,0.0
30-May-2023,22:41:10.875,0.0
31-May-2023,06:31:44.4375,0.0
31-May-2023,14:22:09.59375,0.0
31-May-2023,22:12:41.75,0.0
1-Jun-2023,06:03:11.96875,0.0
1-Jun-2023,13:53:37.4375,0.0
1-Jun-2023,21:44:02.84375,0.0
2-Jun-2023,05:34:25.28125,0.0
2-Jun-2023,13:24:54.875,0.0
2-Jun-2023,21:15:27.0625,0.0
3-Jun-2023,03:37:58.0625,0.0
3-Jun-2023,03:37:59.0625,0.3
3-Jun-2023,03:38:00.0625,0.1
3-Jun-2023,11:28:35.0625,0.0
3-Jun-2023,19:19:00.0625,0.0
4-Jun-2023,03:09:36.125,0.0
