Date,Time,T3_PTVIB_A
23-Apr-2023,21:58:15.88995,4.9
24-Apr-2023,05:48:56.85542,5.2
24-Apr-2023,13:39:37.8159,4.9
24-Apr-2023,21:30:19.73822,4.9
25-Apr-2023,05:21:01.68254,5.0
25-Apr-2023,13:11:43.60486,5.1
25-Apr-2023,21:02:25.5282,4.9
26-Apr-2023,04:53:07.46651,5.5
26-Apr-2023,12:43:47.16518,4.5
26-Apr-2023,20:34:28.46559,5.4
27-Apr-2023,04:25:10.41292,5.4
27-Apr-2023,12:15:52.36923,4.8
27-Apr-2023,20:06:34.32356,5.0
28-Apr-2023,04:01:55.91708,0.7
28-Apr-2023,11:52:37.8674,0.9
28-Apr-2023,19:43:19.82173,0.8
29-Apr-2023,03:34:01.13315,0.7
29-Apr-2023,11:24:41.78667,0.8
29-Apr-2023,19:15:23.72598,0.8
30-Apr-2023,03:06:04.71245,0.7
30-Apr-2023,10:56:44.72307,0.7
30-Apr-2023,18:47:25.37059,0.7
1-May-2023,02:38:07.33391,0.7
1-May-2023,10:28:49.28323,0.8
1-May-2023,18:19:30.59265,0.8
2-May-2023,02:10:11.58412,0.8
2-May-2023,10:00:52.23663,0.7
2-May-2023,17:51:33.2211,0.8
3-May-2023,01:42:15.15843,0.7
3-May-2023,09:32:57.07875,0.8
3-May-2023,17:23:38.99907,0.8
4-May-2023,01:14:20.9234,0.7
4-May-2023,09:05:01.58691,0.8
4-May-2023,16:55:42.90033,0.7
5-May-2023,00:46:23.56885,0.8
5-May-2023,08:37:05.52017,0.7
5-May-2023,16:27:46.48465,0.8
6-May-2023,00:18:28.41797,0.7
6-May-2023,08:09:10.35829,0.7
6-May-2023,15:59:52.28162,0.8
6-May-2023,23:50:34.21494,0.7
7-May-2023,07:41:14.23155,0.7
7-May-2023,15:31:55.84892,0.8
7-May-2023,23:22:36.83139,0.8
8-May-2023,07:13:17.81985,0.7
8-May-2023,15:03:59.74318,0.7
8-May-2023,22:54:40.3907,0.7
9-May-2023,06:45:21.36217,0.8
9-May-2023,14:36:02.34264,0.7
9-May-2023,22:26:43.32611,0.7
10-May-2023,06:17:25.26543,0.7
10-May-2023,14:08:07.20276,0.8
10-May-2023,21:58:49.14908,0.8
11-May-2023,05:49:29.80859,0.7
11-May-2023,13:40:10.77307,0.7
11-May-2023,21:30:52.70639,0.7
12-May-2023,05:21:34.62971,0.8
12-May-2023,13:12:14.31438,0.8
12-May-2023,21:02:55.28685,0.7
13-May-2023,03:43:30.84784,0.7
16-May-2023,00:10:02.41916,0.6
16-May-2023,00:11:05.12958,0.8
16-May-2023,00:11:08.32909,0.6
16-May-2023,00:21:08.23428,0.6
16-May-2023,00:21:09.51408,0.8
16-May-2023,00:31:09.41928,0.8
16-May-2023,00:31:10.37914,0.7
16-May-2023,00:41:10.28435,0.7
16-May-2023,00:41:11.24419,0.8
16-May-2023,00:51:11.1494,0.7
16-May-2023,00:51:12.10925,0.8
16-May-2023,01:01:12.01544,0.6
16-May-2023,01:01:13.29526,0.8
16-May-2023,01:11:13.20045,0.8
16-May-2023,01:11:13.84035,0.7
16-May-2023,01:21:13.74556,0.7
16-May-2023,01:21:14.70541,0.8
16-May-2023,01:31:14.61061,0.6
16-May-2023,01:31:15.89041,0.8
16-May-2023,01:41:15.79561,0.8
16-May-2023,01:41:16.43651,0.8
16-May-2023,01:51:16.34172,0.8
16-May-2023,01:51:17.62152,0.7
16-May-2023,02:01:17.52672,0.7
16-May-2023,02:01:18.48657,0.7
